CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,clock0.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,54.89503441005945,54.89503441005945,space,4.651528464630246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Hippopolis,stimuli/subj_files/ST01_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,HEGESZTŐ UTCA,stimuli/objects/034a.jpg,object,1,stimuli/objects/116a.jpg,stimuli/objects/108b.jpg,stimuli/objects/116b.jpg,stimuli/objects/116a.jpg,stimuli/objects/108a.jpg,dist2,lure,target,dist1,0,0,0,1,0,0,0,26,,,,,59.626015124842525,59.626015124842525,62.60373276099563,63.664124604314566,63.664124604314566,63.664124604314566,63.664124604314566,63.664124604314566,63.664124604314566,63.664124604314566,63.664124604314566,63.664124604314566,63.664124604314566,63.664124604314566,63.664124604314566,67.06448095478117,f,3.4988019336014986,lure,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Hippopolis,stimuli/subj_files/ST01_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,SZALVÉTA UTCA,stimuli/scenes/026a.jpg,scene,0,stimuli/scenes/026a.jpg,stimuli/scenes/026b.jpg,stimuli/objects/050b.jpg,stimuli/objects/050a.jpg,stimuli/scenes/026a.jpg,lure,dist2,dist1,target,0,0,0,1,0,1,1,4,,,,,,,67.19241498969495,68.28332433477044,68.28332433477044,68.28332433477044,68.28332433477044,68.28332433477044,68.28332433477044,68.28332433477044,68.28332433477044,68.28332433477044,68.28332433477044,68.28332433477044,68.28332433477044,,k,2.3672337885946035,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Hippopolis,stimuli/subj_files/ST01_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,HENTES UTCA,stimuli/scenes/073a.jpg,scene,1,stimuli/scenes/093a.jpg,stimuli/scenes/093a.jpg,stimuli/scenes/020b.jpg,stimuli/scenes/093b.jpg,stimuli/scenes/020a.jpg,target,dist2,lure,dist1,0,0,0,1,0,2,2,67,,,,,,,70.67240981385112,71.71534735709429,71.71534735709429,71.71534735709429,71.71534735709429,71.71534735709429,71.71534735709429,71.71534735709429,71.71534735709429,71.71534735709429,71.71534735709429,71.71534735709429,71.71534735709429,75.18036318011582,d,3.8475492615252733,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Hippopolis,stimuli/subj_files/ST01_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,MOSODA UTCA,stimuli/scenes/076a.jpg,scene,0,stimuli/scenes/076a.jpg,stimuli/scenes/076a.jpg,stimuli/scenes/026a.jpg,stimuli/scenes/026b.jpg,stimuli/scenes/076b.jpg,target,dist1,dist2,lure,0,0,0,1,0,3,3,75,,,,,,,75.5819644909352,76.63585940934718,76.63585940934718,76.63585940934718,76.63585940934718,76.63585940934718,76.63585940934718,76.63585940934718,76.63585940934718,76.63585940934718,76.63585940934718,76.63585940934718,76.63585940934718,,d,2.862406035885215,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Hippopolis,stimuli/subj_files/ST01_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,LABDA UTCA,stimuli/scenes/005a.jpg,scene,0,stimuli/scenes/005a.jpg,stimuli/scenes/005a.jpg,stimuli/scenes/061a.jpg,stimuli/scenes/005b.jpg,stimuli/scenes/061b.jpg,target,dist1,lure,dist2,0,0,0,1,0,4,4,18,,,,,,,79.53030632808805,80.59081013314426,80.59081013314426,80.59081013314426,80.59081013314426,80.59081013314426,80.59081013314426,80.59081013314426,80.59081013314426,80.59081013314426,80.59081013314426,80.59081013314426,80.59081013314426,,d,2.411575213074684,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Hippopolis,stimuli/subj_files/ST01_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,VASALÓ UTCA,stimuli/scenes/108a.jpg,scene,0,stimuli/scenes/108a.jpg,stimuli/scenes/108a.jpg,stimuli/scenes/116a.jpg,stimuli/scenes/108b.jpg,stimuli/scenes/116b.jpg,target,dist1,lure,dist2,0,0,0,1,0,5,5,65,,,,,,,83.03680014237761,84.1174910608679,84.1174910608679,84.1174910608679,84.1174910608679,84.1174910608679,84.1174910608679,84.1174910608679,84.1174910608679,84.1174910608679,84.1174910608679,84.1174910608679,84.1174910608679,,d,3.012555878609419,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Hippopolis,stimuli/subj_files/ST01_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,TÉRKÉP UTCA,stimuli/objects/062a.jpg,object,2,stimuli/scenes/067a.jpg,stimuli/objects/091a.jpg,stimuli/objects/091b.jpg,stimuli/scenes/067b.jpg,stimuli/scenes/067a.jpg,dist1,dist2,lure,target,0,0,0,1,0,6,6,13,,,,,,,87.14634374715388,88.2162956148386,88.2162956148386,88.2162956148386,88.2162956148386,88.2162956148386,88.2162956148386,88.2162956148386,88.2162956148386,88.2162956148386,88.2162956148386,88.2162956148386,88.2162956148386,,k,2.3859952483326197,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Hippopolis,stimuli/subj_files/ST01_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,PULÓVER UTCA,stimuli/scenes/071a.jpg,scene,2,stimuli/objects/040a.jpg,stimuli/objects/040b.jpg,stimuli/scenes/060b.jpg,stimuli/objects/040a.jpg,stimuli/scenes/060a.jpg,lure,dist2,target,dist1,0,0,0,1,0,7,7,41,,,,,,,90.62764230929315,91.70886380597949,91.70886380597949,91.70886380597949,91.70886380597949,91.70886380597949,91.70886380597949,91.70886380597949,91.70886380597949,91.70886380597949,91.70886380597949,91.70886380597949,91.70886380597949,,k,2.9419008251279593,dist1,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Hippopolis,stimuli/subj_files/ST01_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,LAKAT UTCA,stimuli/objects/098a.jpg,object,1,stimuli/objects/017a.jpg,stimuli/objects/017b.jpg,stimuli/objects/101a.jpg,stimuli/objects/017a.jpg,stimuli/objects/101b.jpg,lure,dist1,target,dist2,0,0,0,1,0,8,8,7,,,,,,,94.68212627619505,95.76989259012043,95.76989259012043,95.76989259012043,95.76989259012043,95.76989259012043,95.76989259012043,95.76989259012043,95.76989259012043,95.76989259012043,95.76989259012043,95.76989259012043,95.76989259012043,99.18402714654803,None,,invalid,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
