CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,learning_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,test_text.started,key_resp.started,key_resp.keys,key_resp.rt,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,verbal_test_key_resp.keys,test_key_resp.rt,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,verbal_test_key_resp.started,verbal_test_key_resp.rt,n_remembered,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.33955366909504,105.33955366909504,space,25.866460835561156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,TÁSKA UTCA,stimuli/scenes/100a.jpg,scene,0,stimuli/scenes/100a.jpg,stimuli/objects/038b.jpg,stimuli/scenes/100a.jpg,stimuli/objects/038a.jpg,stimuli/scenes/100b.jpg,dist2,target,dist1,lure,0,0,0,0,0,0,0,56,,,,,,,,,131.29697751626372,131.29697751626372,134.2633210271597,135.283039143309,135.283039143309,135.283039143309,135.283039143309,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,LOVAGLÁS UTCA,stimuli/objects/047a.jpg,object,0,stimuli/objects/047a.jpg,stimuli/objects/047a.jpg,stimuli/objects/030b.jpg,stimuli/objects/030a.jpg,stimuli/objects/047b.jpg,target,dist2,dist1,lure,0,0,0,0,0,1,1,14,,,,,,,,,,,138.22329605929554,139.27233492583036,139.27233492583036,139.27233492583036,139.27233492583036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,HORDÓ UTCA,stimuli/objects/065a.jpg,object,2,stimuli/scenes/016a.jpg,stimuli/scenes/016a.jpg,stimuli/objects/015a.jpg,stimuli/objects/015b.jpg,stimuli/scenes/016b.jpg,target,dist1,dist2,lure,0,0,0,0,0,2,2,44,,,,,,,,,,,142.23155110143125,143.2671261895448,143.2671261895448,143.2671261895448,143.2671261895448,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,MUNKA UTCA,stimuli/objects/059a.jpg,object,0,stimuli/objects/059a.jpg,stimuli/scenes/115b.jpg,stimuli/scenes/115a.jpg,stimuli/objects/059a.jpg,stimuli/objects/059b.jpg,dist2,dist1,target,lure,0,0,0,0,0,3,3,1,,,,,,,,,,,146.23971470817924,147.26884512230754,147.26884512230754,147.26884512230754,147.26884512230754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,BOHÓC UTCA,stimuli/objects/052a.jpg,object,2,stimuli/scenes/063a.jpg,stimuli/scenes/019a.jpg,stimuli/scenes/019b.jpg,stimuli/scenes/063b.jpg,stimuli/scenes/063a.jpg,dist1,dist2,lure,target,0,0,0,0,0,4,4,76,,,,,,,,,,,150.25721690431237,151.28349663317204,151.28349663317204,151.28349663317204,151.28349663317204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,TULIPÁN UTCA,stimuli/scenes/101a.jpg,scene,0,stimuli/scenes/101a.jpg,stimuli/objects/057b.jpg,stimuli/scenes/101b.jpg,stimuli/objects/057a.jpg,stimuli/scenes/101a.jpg,dist2,lure,dist1,target,0,0,0,0,0,5,5,79,,,,,,,,,,,154.27360849641263,155.30584928393364,155.30584928393364,155.30584928393364,155.30584928393364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,ÁLOM UTCA,stimuli/scenes/017a.jpg,scene,0,stimuli/scenes/017a.jpg,stimuli/scenes/017a.jpg,stimuli/objects/078b.jpg,stimuli/objects/078a.jpg,stimuli/scenes/017b.jpg,target,dist2,dist1,lure,0,0,0,0,0,6,6,3,,,,,,,,,,,158.28552346117795,159.31204981915653,159.31204981915653,159.31204981915653,159.31204981915653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,BAGOLY UTCA,stimuli/objects/019a.jpg,object,0,stimuli/objects/019a.jpg,stimuli/objects/019a.jpg,stimuli/scenes/002a.jpg,stimuli/objects/019b.jpg,stimuli/scenes/002b.jpg,target,dist1,lure,dist2,0,0,0,0,0,7,7,41,,,,,,,,,,,162.29635208286345,163.33178846165538,163.33178846165538,163.33178846165538,163.33178846165538,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KORONA UTCA,stimuli/scenes/080a.jpg,scene,0,stimuli/scenes/080a.jpg,stimuli/scenes/012a.jpg,stimuli/scenes/012b.jpg,stimuli/scenes/080a.jpg,stimuli/scenes/080b.jpg,dist1,dist2,target,lure,0,0,0,0,0,8,8,36,,,,,,,,,,,166.29759237542748,167.3226259034127,167.3226259034127,167.3226259034127,167.3226259034127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
