Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,trials_4afct.thisRepN,trials_4afct.thisTrialN,trials_4afct.thisN,trials_4afct.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,fx_cross.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,clock0.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,clock0.stopped,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,14.408197443932295,14.408197443932295,space,7.8176183216273785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
SÜTŐ UTCA,stimuli/scenes/015a.jpg,scene,right,Camponello,2,stimuli/objects/118a.jpg,stimuli/scenes/079a.jpg,stimuli/objects/118a.jpg,stimuli/scenes/079b.jpg,stimuli/objects/118b.jpg,dist1,target,dist2,lure,0,0,0,156,,,,,22.280539583414793,23.30069062113762,23.30069062113762,23.30069062113762,23.30069062113762,23.30069062113762,23.30069062113762,23.30069062113762,23.30069062113762,23.30069062113762,23.30069062113762,26.73179524205625,k,4.045028991997242,lure,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
MANDARIN UTCA,stimuli/objects/009a.jpg,object,left,Hippopolis,0,stimuli/objects/009a.jpg,stimuli/objects/009b.jpg,stimuli/objects/009a.jpg,stimuli/scenes/006a.jpg,stimuli/scenes/006b.jpg,lure,target,dist1,dist2,0,1,1,68,,,,,27.367176324129105,28.41792230308056,28.41792230308056,28.41792230308056,28.41792230308056,28.41792230308056,28.41792230308056,28.41792230308056,28.41792230308056,28.41792230308056,28.41792230308056,,f,2.528028452768922,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
TOLMÁCS UTCA,stimuli/scenes/092a.jpg,scene,right,Camponello,0,stimuli/scenes/092a.jpg,stimuli/objects/032a.jpg,stimuli/objects/032b.jpg,stimuli/scenes/092b.jpg,stimuli/scenes/092a.jpg,dist1,dist2,lure,target,0,2,2,111,,,,,30.96375873684883,32.03402783162892,32.03402783162892,32.03402783162892,32.03402783162892,32.03402783162892,32.03402783162892,32.03402783162892,32.03402783162892,32.03402783162892,32.03402783162892,,d,3.1683607548475266,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
TENISZ UTCA,stimuli/scenes/058a.jpg,scene,right,Camponello,1,stimuli/scenes/099a.jpg,stimuli/scenes/099b.jpg,stimuli/objects/027a.jpg,stimuli/scenes/099a.jpg,stimuli/objects/027b.jpg,lure,dist1,target,dist2,0,3,3,155,,,,,35.23070236481726,36.277808325365186,36.277808325365186,36.277808325365186,36.277808325365186,36.277808325365186,36.277808325365186,36.277808325365186,36.277808325365186,36.277808325365186,36.277808325365186,,k,3.228043192997575,dist2,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
HORGONY UTCA,stimuli/scenes/008a.jpg,scene,right,Camponello,1,stimuli/scenes/051a.jpg,stimuli/scenes/051b.jpg,stimuli/scenes/034a.jpg,stimuli/scenes/034b.jpg,stimuli/scenes/051a.jpg,lure,dist1,dist2,target,0,4,4,95,,,,,39.530416425317526,40.56144086830318,40.56144086830318,40.56144086830318,40.56144086830318,40.56144086830318,40.56144086830318,40.56144086830318,40.56144086830318,40.56144086830318,40.56144086830318,,f,3.024999560788274,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
TÉRKÉP UTCA,stimuli/scenes/033a.jpg,scene,right,Camponello,0,stimuli/scenes/033a.jpg,stimuli/scenes/033a.jpg,stimuli/scenes/022b.jpg,stimuli/scenes/022a.jpg,stimuli/scenes/033b.jpg,target,dist2,dist1,lure,0,5,5,151,,,,,43.616589454934,44.65179133601487,44.65179133601487,44.65179133601487,44.65179133601487,44.65179133601487,44.65179133601487,44.65179133601487,44.65179133601487,44.65179133601487,44.65179133601487,,d,2.501842023804784,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
KESZTYŰ UTCA,stimuli/scenes/050a.jpg,scene,right,Hippopolis,1,stimuli/scenes/098a.jpg,stimuli/scenes/098a.jpg,stimuli/scenes/020a.jpg,stimuli/scenes/098b.jpg,stimuli/scenes/020b.jpg,target,dist1,lure,dist2,0,6,6,15,,,,,47.18018839508295,48.20319136232138,48.20319136232138,48.20319136232138,48.20319136232138,48.20319136232138,48.20319136232138,48.20319136232138,48.20319136232138,48.20319136232138,48.20319136232138,,f,3.3034572657197714,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
MAJOM UTCA,stimuli/objects/085a.jpg,object,left,Camponello,0,stimuli/objects/085a.jpg,stimuli/scenes/112b.jpg,stimuli/scenes/112a.jpg,stimuli/objects/085a.jpg,stimuli/objects/085b.jpg,dist2,dist1,target,lure,0,7,7,91,,,,,51.53344998136163,52.59830632247031,52.59830632247031,52.59830632247031,52.59830632247031,52.59830632247031,52.59830632247031,52.59830632247031,52.59830632247031,52.59830632247031,52.59830632247031,,k,3.019611995667219,lure,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
FÜZET UTCA,stimuli/scenes/019a.jpg,scene,right,Hippopolis,1,stimuli/scenes/038a.jpg,stimuli/scenes/038b.jpg,stimuli/scenes/018b.jpg,stimuli/scenes/038a.jpg,stimuli/scenes/018a.jpg,lure,dist2,target,dist1,0,8,8,45,,,,,55.64686903730035,56.672737615182996,56.672737615182996,56.672737615182996,56.672737615182996,56.672737615182996,56.672737615182996,56.672737615182996,56.672737615182996,56.672737615182996,56.672737615182996,60.14720461331308,k,3.712752252817154,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
