CityName,StimuliFile,CityImage,StreetSign,LearningVideoFile,UpdatingVideoFile,Cue,Image,Category,CorrectResponse,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlockLearning.thisRepN,CityBlockLearning.thisTrialN,CityBlockLearning.thisN,CityBlockLearning.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,CityBlockUpdating.thisRepN,CityBlockUpdating.thisTrialN,CityBlockUpdating.thisN,CityBlockUpdating.thisIndex,UpdatingTrials.thisRepN,UpdatingTrials.thisTrialN,UpdatingTrials.thisN,UpdatingTrials.thisIndex,Test4afctTrials.thisRepN,Test4afctTrials.thisTrialN,Test4afctTrials.thisN,Test4afctTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,learning_cityname_text.started,learning_city_image.started,load_video_2.started,learning_movie.started,learning_end_vid_key.started,learning_end_vid_key.keys,text_countdown.started,cityname_text_start.started,Phase,fx_cross.started,plate_learning.started,learning_city_text.started,learning_street_text.started,learning_image.started,learning_skip_key.started,learning_skip_key.keys,short_break_key.keys,fx_cross.stopped,plate_learning.stopped,learning_city_text.stopped,learning_street_text.stopped,learning_image.stopped,learning_skip_key.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,learning_phase_test_text.started,learning_phase_key.started,learning_phase_key.keys,learning_phase_key.rt,text_countdown.stopped,cityname_text_start.stopped,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,test_key_resp.corr,text_response_test.text,written_text_mouse.x,written_text_mouse.y,written_text_mouse.leftButton,written_text_mouse.midButton,written_text_mouse.rightButton,written_text_mouse.time,test_key_resp.rt,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,text_response_test.started,written_text_mouse.started,plate_test.stopped,city_text_test.stopped,street_text_test.stopped,test_question.stopped,test_key_resp.stopped,button_image.stopped,long_break1_break_text.started,long_break1_key.started,long_break1_key.keys,long_break1_key.rt,end_learning_text.started,continue_updating_key.started,continue_updating_key.keys,continue_updating_key.rt,updating_instructions_text.started,intro_updating_key.started,intro_updating_key.keys,intro_updating_key.rt,cityname_text_intro.started,city_image_update.started,load_video.started,movie.started,end_vid_key.started,end_vid_key.keys,cityname_text.started,city_image.started,plate.started,city_text.started,street_text.started,fx_cross_prediction.started,key_resp_update.started,button_image_updating.started,skip_key.started,key_resp_update.keys,key_resp_update.corr,skip_key.keys,plate_updating.started,city_text_updating.started,street_text_updating.started,updating_image.started,skip_key_updating.started,skip_key_updating.keys,plate.stopped,city_text.stopped,street_text.stopped,fx_cross_prediction.stopped,key_resp_update.stopped,button_image_updating.stopped,skip_key.stopped,key_resp_update.rt,plate_updating.stopped,city_text_updating.stopped,street_text_updating.stopped,updating_image.stopped,skip_key_updating.stopped,long_break2_text.started,long_break2_key_resp.started,long_break2_key_resp.keys,long_break2_key_resp.rt,end_text_updating.started,continue_key.started,continue_key.keys,continue_key.rt,instructions_4afct_text.started,intro_4afct_key.started,intro_4afct_key.keys,intro_4afct_key.rt,updating_cue,reinstated,street_text_4afct.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp_4afct.started,clock0.started,key_resp_4afct.keys,key_resp_4afct.rt,test4afct_resp,short_break_4afct_key.keys,short_break_4afct_text.started,short_break_4afct_key.started,short_break_4afct_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,end_experiment_text.started,end_experiment_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.70545249991119,18.70545249991119,space,10.888324199942872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_121322,2022-12-13_13h18.44.332,MemoryLand,2022.2.4,60.1394152317986,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,MOTOR UTCA,stimuli/scenes/043a.jpg,scene,right,0,stimuli/scenes/043a.jpg,stimuli/scenes/043a.jpg,stimuli/scenes/034a.jpg,stimuli/scenes/034b.jpg,stimuli/scenes/043b.jpg,target,dist1,dist2,lure,0,0,0,0,0,0,0,65,,,,,,,,,,,,,,,,,,,,,29.696775400079787,29.696775400079787,0.04800549987703562,32.80000829999335,32.80000829999335,None,48.0340648998972,48.0340648998972,Learning,50.63013310008682,51.64490989991464,51.64490989991464,51.64490989991464,51.64490989991464,51.64490989991464,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_121322,2022-12-13_13h18.44.332,MemoryLand,2022.2.4,60.1394152317986,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,ZSEMLE UTCA,stimuli/objects/046a.jpg,object,left,0,stimuli/objects/046a.jpg,stimuli/objects/046b.jpg,stimuli/objects/046a.jpg,stimuli/objects/080a.jpg,stimuli/objects/080b.jpg,lure,target,dist1,dist2,0,0,0,0,0,1,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,54.62998379999772,55.63414940005168,55.63414940005168,55.63414940005168,55.63414940005168,55.63414940005168,None,None,55.63414940005168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_121322,2022-12-13_13h18.44.332,MemoryLand,2022.2.4,60.1394152317986,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,SZILVA UTCA,stimuli/scenes/081a.jpg,scene,right,0,stimuli/scenes/081a.jpg,stimuli/objects/020a.jpg,stimuli/scenes/081a.jpg,stimuli/objects/020b.jpg,stimuli/scenes/081b.jpg,dist1,target,dist2,lure,0,0,0,0,0,2,2,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,58.64647049992345,59.64989569992758,59.64989569992758,59.64989569992758,59.64989569992758,59.64989569992758,None,None,59.64989569992758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_121322,2022-12-13_13h18.44.332,MemoryLand,2022.2.4,60.1394152317986,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,SUGÁR UTCA,stimuli/objects/047a.jpg,object,left,0,stimuli/objects/047a.jpg,stimuli/objects/047b.jpg,stimuli/objects/090a.jpg,stimuli/objects/090b.jpg,stimuli/objects/047a.jpg,lure,dist1,dist2,target,0,0,0,0,0,3,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,62.6631646999158,63.67003859998658,63.67003859998658,63.67003859998658,63.67003859998658,63.67003859998658,None,None,63.67003859998658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_121322,2022-12-13_13h18.44.332,MemoryLand,2022.2.4,60.1394152317986,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,SZIKLA UTCA,stimuli/objects/082a.jpg,object,left,1,stimuli/objects/039a.jpg,stimuli/objects/039b.jpg,stimuli/objects/039a.jpg,stimuli/objects/054a.jpg,stimuli/objects/054b.jpg,lure,target,dist1,dist2,0,0,0,0,0,4,4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,66.67983659985475,67.68132869992405,67.68132869992405,67.68132869992405,67.68132869992405,67.68132869992405,None,None,67.68132869992405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_121322,2022-12-13_13h18.44.332,MemoryLand,2022.2.4,60.1394152317986,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,VÖDÖR UTCA,stimuli/scenes/055a.jpg,scene,right,0,stimuli/scenes/055a.jpg,stimuli/scenes/044b.jpg,stimuli/scenes/044a.jpg,stimuli/scenes/055a.jpg,stimuli/scenes/055b.jpg,dist2,dist1,target,lure,0,0,0,0,0,5,5,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,70.6963086000178,71.70074980007485,71.70074980007485,71.70074980007485,71.70074980007485,71.70074980007485,None,None,71.70074980007485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_121322,2022-12-13_13h18.44.332,MemoryLand,2022.2.4,60.1394152317986,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,HEGEDŰ UTCA,stimuli/scenes/104a.jpg,scene,right,0,stimuli/scenes/104a.jpg,stimuli/scenes/087a.jpg,stimuli/scenes/104b.jpg,stimuli/scenes/104a.jpg,stimuli/scenes/087b.jpg,dist1,lure,target,dist2,0,0,0,0,0,6,6,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,74.71277230000123,75.71673760004342,75.71673760004342,75.71673760004342,75.71673760004342,75.71673760004342,None,None,75.71673760004342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_121322,2022-12-13_13h18.44.332,MemoryLand,2022.2.4,60.1394152317986,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,TERASZ UTCA,stimuli/scenes/116a.jpg,scene,right,0,stimuli/scenes/116a.jpg,stimuli/scenes/104b.jpg,stimuli/scenes/104a.jpg,stimuli/scenes/116a.jpg,stimuli/scenes/116b.jpg,dist2,dist1,target,lure,0,0,0,0,0,7,7,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,78.72969780000858,79.73010939988308,79.73010939988308,79.73010939988308,79.73010939988308,79.73010939988308,None,None,79.73010939988308,82.7295478999149,82.7295478999149,82.7295478999149,82.7295478999149,82.7295478999149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_121322,2022-12-13_13h18.44.332,MemoryLand,2022.2.4,60.1394152317986,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,HAJÓ UTCA,stimuli/scenes/079a.jpg,scene,right,0,stimuli/scenes/079a.jpg,stimuli/scenes/079b.jpg,stimuli/scenes/079a.jpg,stimuli/scenes/050a.jpg,stimuli/scenes/050b.jpg,lure,target,dist1,dist2,0,0,0,0,0,8,8,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,82.7295478999149,83.73594249994494,83.73594249994494,83.73594249994494,83.73594249994494,83.73594249994494,None,None,83.73594249994494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_121322,2022-12-13_13h18.44.332,MemoryLand,2022.2.4,60.1394152317986,
