CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,fx_cross.stopped,clock0.started,short_break_text.started,short_break_key.started,short_break_key.rt,clock0.stopped,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,18.789285706356168,18.789285706356168,space,4.496112706139684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,MARTINI UTCA,stimuli/objects/097a.jpg,object,1,stimuli/objects/052a.jpg,stimuli/objects/052b.jpg,stimuli/objects/052a.jpg,stimuli/objects/102a.jpg,stimuli/objects/102b.jpg,lure,target,dist1,dist2,0,0,0,1,0,0,0,56,,,,,23.397555427625775,23.397555427625775,26.35788220912218,27.410943631082773,27.410943631082773,27.410943631082773,27.410943631082773,27.410943631082773,27.410943631082773,27.410943631082773,27.410943631082773,27.410943631082773,27.410943631082773,27.410943631082773,27.410943631082773,j,3.009706174954772,dist1,None,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,DOMINÓ UTCA,stimuli/scenes/034a.jpg,scene,2,stimuli/objects/036a.jpg,stimuli/objects/036b.jpg,stimuli/objects/036a.jpg,stimuli/objects/080b.jpg,stimuli/objects/080a.jpg,lure,target,dist2,dist1,0,0,0,1,0,1,1,38,,,,,,,30.44798729196191,31.554216500371695,31.554216500371695,31.554216500371695,31.554216500371695,31.554216500371695,31.554216500371695,31.554216500371695,31.554216500371695,31.554216500371695,31.554216500371695,31.554216500371695,31.554216500371695,f,2.8500553965568542,target,None,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,TALICSKA UTCA,stimuli/scenes/026a.jpg,scene,0,stimuli/scenes/026a.jpg,stimuli/scenes/033b.jpg,stimuli/scenes/026b.jpg,stimuli/scenes/033a.jpg,stimuli/scenes/026a.jpg,dist2,lure,dist1,target,0,0,0,1,0,2,2,21,,,,,,,34.44097347557545,35.50745948962867,35.50745948962867,35.50745948962867,35.50745948962867,35.50745948962867,35.50745948962867,35.50745948962867,35.50745948962867,35.50745948962867,35.50745948962867,35.50745948962867,35.50745948962867,k,2.273638639599085,target,None,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,NARANCS UTCA,stimuli/objects/093a.jpg,object,2,stimuli/scenes/064a.jpg,stimuli/scenes/064a.jpg,stimuli/objects/043b.jpg,stimuli/objects/043a.jpg,stimuli/scenes/064b.jpg,target,dist2,dist1,lure,0,0,0,1,0,3,3,27,,,,,,,37.80937454290688,38.88425897248089,38.88425897248089,38.88425897248089,38.88425897248089,38.88425897248089,38.88425897248089,38.88425897248089,38.88425897248089,38.88425897248089,38.88425897248089,38.88425897248089,38.88425897248089,d,2.5126237254589796,target,None,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,PIZSAMA UTCA,stimuli/objects/004a.jpg,object,0,stimuli/objects/004a.jpg,stimuli/objects/004a.jpg,stimuli/scenes/104a.jpg,stimuli/objects/004b.jpg,stimuli/scenes/104b.jpg,target,dist1,lure,dist2,0,0,0,1,0,4,4,59,,,,,,,41.43175338022411,42.503882294520736,42.503882294520736,42.503882294520736,42.503882294520736,42.503882294520736,42.503882294520736,42.503882294520736,42.503882294520736,42.503882294520736,42.503882294520736,42.503882294520736,42.503882294520736,f,2.477255145087838,dist1,None,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,SÜTEMÉNY UTCA,stimuli/scenes/102a.jpg,scene,0,stimuli/scenes/102a.jpg,stimuli/scenes/102a.jpg,stimuli/scenes/102b.jpg,stimuli/scenes/089b.jpg,stimuli/scenes/089a.jpg,target,lure,dist2,dist1,0,0,0,1,0,5,5,62,,,,,,,45.00778604671359,46.05376865155995,46.05376865155995,46.05376865155995,46.05376865155995,46.05376865155995,46.05376865155995,46.05376865155995,46.05376865155995,46.05376865155995,46.05376865155995,46.05376865155995,46.05376865155995,d,2.0626326203346252,target,None,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,PÁFRÁNY UTCA,stimuli/scenes/013a.jpg,scene,0,stimuli/scenes/013a.jpg,stimuli/scenes/026b.jpg,stimuli/scenes/026a.jpg,stimuli/scenes/013b.jpg,stimuli/scenes/013a.jpg,dist2,dist1,lure,target,0,0,0,1,0,6,6,28,,,,,,,48.13437839783728,49.20029806904495,49.20029806904495,49.20029806904495,49.20029806904495,49.20029806904495,49.20029806904495,49.20029806904495,49.20029806904495,49.20029806904495,49.20029806904495,49.20029806904495,49.20029806904495,k,2.5800356045365334,target,None,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,SZŐLŐ UTCA,stimuli/objects/031a.jpg,object,0,stimuli/objects/031a.jpg,stimuli/scenes/097a.jpg,stimuli/scenes/097b.jpg,stimuli/objects/031b.jpg,stimuli/objects/031a.jpg,dist1,dist2,lure,target,0,0,0,1,0,7,7,46,,,,,,,51.79772051051259,52.83618609234691,52.83618609234691,52.83618609234691,52.83618609234691,52.83618609234691,52.83618609234691,52.83618609234691,52.83618609234691,52.83618609234691,52.83618609234691,52.83618609234691,52.83618609234691,j,2.8324636314064264,lure,None,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,TORONY UTCA,stimuli/scenes/066a.jpg,scene,0,stimuli/scenes/066a.jpg,stimuli/scenes/056b.jpg,stimuli/scenes/056a.jpg,stimuli/scenes/066b.jpg,stimuli/scenes/066a.jpg,dist2,dist1,lure,target,0,0,0,1,0,8,8,76,,,,,,,55.69879684224725,56.77368407137692,56.77368407137692,56.77368407137692,56.77368407137692,56.77368407137692,56.77368407137692,56.77368407137692,56.77368407137692,56.77368407137692,56.77368407137692,56.77368407137692,56.77368407137692,f,2.862858597189188,dist1,None,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
