CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text_intro.started,city_image_2.started,load_video.started,movie.started,end_vid_key.started,end_vid_key.keys,cityname_text.started,city_image.started,text_countdown.started,fx_cross.started,plate.started,city_text.started,street_text.started,learning_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,test_text.started,key_resp.started,key_resp.keys,key_resp.rt,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,verbal_test_key_resp.keys,test_key_resp.rt,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,verbal_test_key_resp.started,verbal_test_key_resp.rt,n_remembered,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_vid_key.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.834311343729496,29.834311343729496,space,11.58858997002244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,SÜTŐ UTCA,stimuli/objects/051a.jpg,object,2,stimuli/scenes/117a.jpg,stimuli/scenes/117a.jpg,stimuli/scenes/117b.jpg,stimuli/scenes/004b.jpg,stimuli/scenes/004a.jpg,target,lure,dist2,dist1,0,0,0,0,0,0,0,67,,,,,,,,,41.497932428494096,41.497932428494096,0.04472271911799908,44.62302262149751,44.62302262149751,None,72.71871120110154,72.71871120110154,75.2611327841878,78.26610142178833,79.36237780563533,79.36237780563533,79.36237780563533,79.36237780563533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,TÁSKA UTCA,stimuli/scenes/093a.jpg,scene,1,stimuli/scenes/071a.jpg,stimuli/scenes/071a.jpg,stimuli/scenes/071b.jpg,stimuli/scenes/107a.jpg,stimuli/scenes/107b.jpg,target,lure,dist1,dist2,0,0,0,0,0,1,1,41,,,,,,,,,,,,,,,,,,82.26137941144407,83.33820949867368,83.33820949867368,83.33820949867368,83.33820949867368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,LABDA UTCA,stimuli/scenes/058a.jpg,scene,1,stimuli/scenes/055a.jpg,stimuli/scenes/091b.jpg,stimuli/scenes/091a.jpg,stimuli/scenes/055b.jpg,stimuli/scenes/055a.jpg,dist2,dist1,lure,target,0,0,0,0,0,2,2,75,,,,,,,,,,,,,,,,,,86.27769480831921,87.33332078903913,87.33332078903913,87.33332078903913,87.33332078903913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,KOCSI UTCA,stimuli/objects/029a.jpg,object,2,stimuli/scenes/119a.jpg,stimuli/scenes/068b.jpg,stimuli/scenes/119b.jpg,stimuli/scenes/068a.jpg,stimuli/scenes/119a.jpg,dist2,lure,dist1,target,0,0,0,0,0,3,3,76,,,,,,,,,,,,,,,,,,90.2803591992706,91.3356213029474,91.3356213029474,91.3356213029474,91.3356213029474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,MÁLNA UTCA,stimuli/objects/109a.jpg,object,1,stimuli/objects/028a.jpg,stimuli/objects/115a.jpg,stimuli/objects/028a.jpg,stimuli/objects/028b.jpg,stimuli/objects/115b.jpg,dist1,target,lure,dist2,0,0,0,0,0,4,4,14,,,,,,,,,,,,,,,,,,94.28763021714985,95.32524084299803,95.32524084299803,95.32524084299803,95.32524084299803,None,95.32524084299803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,FÉNYKÉP UTCA,stimuli/objects/072a.jpg,object,0,stimuli/objects/072a.jpg,stimuli/objects/072b.jpg,stimuli/scenes/061b.jpg,stimuli/scenes/061a.jpg,stimuli/objects/072a.jpg,lure,dist2,dist1,target,0,0,0,0,0,5,5,22,,,,,,,,,,,,,,,,,,98.29445276595652,99.35765983723104,99.35765983723104,99.35765983723104,99.35765983723104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,KÖNYVTÁR UTCA,stimuli/scenes/065a.jpg,scene,0,stimuli/scenes/065a.jpg,stimuli/scenes/065b.jpg,stimuli/scenes/118b.jpg,stimuli/scenes/065a.jpg,stimuli/scenes/118a.jpg,lure,dist2,target,dist1,0,0,0,0,0,6,6,34,,,,,,,,,,,,,,,,,,102.29697564803064,103.35202906653285,103.35202906653285,103.35202906653285,103.35202906653285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,SIRÁLY UTCA,stimuli/objects/055a.jpg,object,0,stimuli/objects/055a.jpg,stimuli/objects/055b.jpg,stimuli/objects/085b.jpg,stimuli/objects/085a.jpg,stimuli/objects/055a.jpg,lure,dist2,dist1,target,0,0,0,0,0,7,7,19,,,,,,,,,,,,,,,,,,106.30929989926517,107.35682385228574,107.35682385228574,107.35682385228574,107.35682385228574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,ÁRNYÉK UTCA,stimuli/objects/035a.jpg,object,1,stimuli/objects/059a.jpg,stimuli/objects/059a.jpg,stimuli/scenes/078b.jpg,stimuli/objects/059b.jpg,stimuli/scenes/078a.jpg,target,dist2,lure,dist1,0,0,0,0,0,8,8,29,,,,,,,,,,,,,,,,,,110.31165981478989,111.35984528064728,111.35984528064728,111.35984528064728,111.35984528064728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
