Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,trials_4afct.thisRepN,trials_4afct.thisTrialN,trials_4afct.thisN,trials_4afct.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,fx_cross.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,clock0.started,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,24.02740121819079,24.02740121819079,space,4.936001321300864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
BANÁN UTCA,stimuli/scenes/056a.jpg,scene,right,Hippopolis,2,stimuli/objects/110a.jpg,stimuli/scenes/084a.jpg,stimuli/objects/110b.jpg,stimuli/scenes/084b.jpg,stimuli/objects/110a.jpg,dist1,lure,dist2,target,0,0,0,11,,,,,29.030850280076265,30.067735947668552,30.067735947668552,30.067735947668552,30.067735947668552,30.067735947668552,30.067735947668552,30.067735947668552,30.067735947668552,30.067735947668552,30.067735947668552,d,2.815807305276394,dist1,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
AKÁC UTCA,stimuli/objects/100a.jpg,object,left,Camponello,1,stimuli/objects/045a.jpg,stimuli/objects/045b.jpg,stimuli/scenes/051b.jpg,stimuli/objects/045a.jpg,stimuli/scenes/051a.jpg,lure,dist2,target,dist1,0,1,1,83,,,,,32.911333633586764,33.98140492849052,33.98140492849052,33.98140492849052,33.98140492849052,33.98140492849052,33.98140492849052,33.98140492849052,33.98140492849052,33.98140492849052,33.98140492849052,d,2.790280831977725,lure,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
ZÁSZLÓ UTCA,stimuli/scenes/069a.jpg,scene,right,Hippopolis,0,stimuli/scenes/069a.jpg,stimuli/objects/028b.jpg,stimuli/objects/028a.jpg,stimuli/scenes/069b.jpg,stimuli/scenes/069a.jpg,dist2,dist1,lure,target,0,2,2,74,,,,,36.79867125675082,37.86714771017432,37.86714771017432,37.86714771017432,37.86714771017432,37.86714771017432,37.86714771017432,37.86714771017432,37.86714771017432,37.86714771017432,37.86714771017432,k,2.792394744232297,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
TRIATLON UTCA,stimuli/scenes/105a.jpg,scene,right,Camponello,0,stimuli/scenes/105a.jpg,stimuli/scenes/105a.jpg,stimuli/scenes/105b.jpg,stimuli/scenes/065a.jpg,stimuli/scenes/065b.jpg,target,lure,dist1,dist2,0,3,3,88,,,,,40.6817113943398,41.74745938926935,41.74745938926935,41.74745938926935,41.74745938926935,41.74745938926935,41.74745938926935,41.74745938926935,41.74745938926935,41.74745938926935,41.74745938926935,d,2.815000554546714,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
FÜZET UTCA,stimuli/scenes/027a.jpg,scene,right,Camponello,1,stimuli/scenes/097a.jpg,stimuli/scenes/097a.jpg,stimuli/scenes/100b.jpg,stimuli/scenes/097b.jpg,stimuli/scenes/100a.jpg,target,dist2,lure,dist1,0,4,4,104,,,,,44.594506135210395,45.638604663312435,45.638604663312435,45.638604663312435,45.638604663312435,45.638604663312435,45.638604663312435,45.638604663312435,45.638604663312435,45.638604663312435,45.638604663312435,k,3.180669739842415,dist1,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
BÖGRE UTCA,stimuli/scenes/040a.jpg,scene,right,Camponello,0,stimuli/scenes/040a.jpg,stimuli/scenes/040a.jpg,stimuli/objects/050b.jpg,stimuli/scenes/040b.jpg,stimuli/objects/050a.jpg,target,dist2,lure,dist1,0,5,5,129,,,,,48.84438328631222,49.91491145081818,49.91491145081818,49.91491145081818,49.91491145081818,49.91491145081818,49.91491145081818,49.91491145081818,49.91491145081818,49.91491145081818,49.91491145081818,d,2.343565247952938,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
TÁNYÉR UTCA,stimuli/objects/041a.jpg,object,left,Hippopolis,0,stimuli/objects/041a.jpg,stimuli/objects/041b.jpg,stimuli/objects/044a.jpg,stimuli/objects/044b.jpg,stimuli/objects/041a.jpg,lure,dist1,dist2,target,0,6,6,21,,,,,52.277663707733154,53.33136704750359,53.33136704750359,53.33136704750359,53.33136704750359,53.33136704750359,53.33136704750359,53.33136704750359,53.33136704750359,53.33136704750359,53.33136704750359,k,2.655271092429757,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
VITORLA UTCA,stimuli/scenes/034a.jpg,scene,right,Hippopolis,1,stimuli/scenes/102a.jpg,stimuli/scenes/055a.jpg,stimuli/scenes/055b.jpg,stimuli/scenes/102b.jpg,stimuli/scenes/102a.jpg,dist1,dist2,lure,target,0,7,7,57,,,,,56.01483251713216,57.08025177940726,57.08025177940726,57.08025177940726,57.08025177940726,57.08025177940726,57.08025177940726,57.08025177940726,57.08025177940726,57.08025177940726,57.08025177940726,j,2.3623621612787247,lure,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
TERÍTŐ UTCA,stimuli/objects/085a.jpg,object,left,Hippopolis,1,stimuli/objects/017a.jpg,stimuli/objects/120a.jpg,stimuli/objects/120b.jpg,stimuli/objects/017a.jpg,stimuli/objects/017b.jpg,dist1,dist2,target,lure,0,8,8,19,,,,,59.460783338174224,60.537288423627615,60.537288423627615,60.537288423627615,60.537288423627615,60.537288423627615,60.537288423627615,60.537288423627615,60.537288423627615,60.537288423627615,60.537288423627615,d,1.6578897666186094,dist1,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
