CityName,StimuliFile,CityImage,StreetSign,LearningVideoFile,UpdatingVideoFile,Cue,Image,Category,CorrectResponse,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,UpdatingTrials.thisRepN,UpdatingTrials.thisTrialN,UpdatingTrials.thisN,UpdatingTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text_intro.started,city_image_update.started,load_video.started,movie.started,end_vid_key.started,end_vid_key.keys,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,fx_cross_prediction.started,key_resp_update.started,button_image_updating.started,key_resp_update.keys,key_resp_update.corr,plate_updating.started,city_text_updating.started,street_text_updating.started,updating_image.started,short_break_key.keys,key_resp_update.rt,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.07004890218377,40.07004890218377,space,22.2259272467345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Camponello,stimuli/subj_files/ST02_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,HAJÓ UTCA,stimuli/objects/037a.jpg,object,left,2,stimuli/scenes/014a.jpg,stimuli/objects/053a.jpg,stimuli/scenes/014b.jpg,stimuli/objects/053b.jpg,stimuli/scenes/014a.jpg,dist1,lure,dist2,target,0,0,0,0,0,0,0,21,,,,,62.410767290741205,62.410767290741205,0.07968605682253838,65.56305001489818,65.56305001489818,None,72.88779884576797,72.88779884576797,75.373514322564,76.36400778964162,76.36400778964162,76.36400778964162,76.36400778964162,76.36400778964162,76.36400778964162,None,0,80.38006162829697,80.38006162829697,80.38006162829697,80.38006162829697,None,,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Camponello,stimuli/subj_files/ST02_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,AJÁNDÉK UTCA,stimuli/scenes/070a.jpg,scene,right,2,stimuli/objects/089a.jpg,stimuli/scenes/020b.jpg,stimuli/scenes/020a.jpg,stimuli/objects/089a.jpg,stimuli/objects/089b.jpg,dist2,dist1,target,lure,0,0,0,0,0,1,1,74,,,,,,,,,,,,,82.33756913617253,83.36393656954169,83.36393656954169,83.36393656954169,83.36393656954169,83.36393656954169,83.36393656954169,right,0,87.39553108625114,87.39553108625114,87.39553108625114,87.39553108625114,None,1.635272927582264,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Camponello,stimuli/subj_files/ST02_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,SZILVA UTCA,stimuli/objects/030a.jpg,object,left,0,stimuli/objects/030a.jpg,stimuli/objects/030a.jpg,stimuli/objects/030b.jpg,stimuli/objects/003b.jpg,stimuli/objects/003a.jpg,target,lure,dist2,dist1,0,0,0,0,0,2,2,64,,,,,,,,,,,,,89.3538524992764,90.38134359754622,90.38134359754622,90.38134359754622,90.38134359754622,90.38134359754622,90.38134359754622,down,0,94.38110878691077,94.38110878691077,94.38110878691077,94.38110878691077,None,1.8659482318907976,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Camponello,stimuli/subj_files/ST02_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,PAPUCS UTCA,stimuli/scenes/059a.jpg,scene,right,0,stimuli/scenes/059a.jpg,stimuli/objects/040b.jpg,stimuli/objects/040a.jpg,stimuli/scenes/059a.jpg,stimuli/scenes/059b.jpg,dist2,dist1,target,lure,0,0,0,0,0,3,3,38,,,,,,,,,,,,,96.3701364826411,97.39499553479254,97.39499553479254,97.39499553479254,97.39499553479254,97.39499553479254,97.39499553479254,down,0,101.40367230214179,101.40367230214179,101.40367230214179,101.40367230214179,None,1.203584237024188,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Camponello,stimuli/subj_files/ST02_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,PAPRIKA UTCA,stimuli/scenes/099a.jpg,scene,right,1,stimuli/scenes/076a.jpg,stimuli/objects/048a.jpg,stimuli/objects/048b.jpg,stimuli/scenes/076b.jpg,stimuli/scenes/076a.jpg,dist1,dist2,lure,target,0,0,0,0,0,4,4,41,,,,,,,,,,,,,103.3730465695262,104.39426622353494,104.39426622353494,104.39426622353494,104.39426622353494,104.39426622353494,104.39426622353494,down,0,108.42933654785156,108.42933654785156,108.42933654785156,108.42933654785156,None,1.611927853897214,104.39426622353494,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Camponello,stimuli/subj_files/ST02_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,BÖGRE UTCA,stimuli/scenes/040a.jpg,scene,right,0,stimuli/scenes/040a.jpg,stimuli/scenes/040a.jpg,stimuli/objects/050b.jpg,stimuli/scenes/040b.jpg,stimuli/objects/050a.jpg,target,dist2,lure,dist1,0,0,0,0,0,5,5,49,,,,,,,,,,,,,110.39676236175,111.41602205485106,111.41602205485106,111.41602205485106,111.41602205485106,111.41602205485106,111.41602205485106,down,0,115.43091335147619,115.43091335147619,115.43091335147619,115.43091335147619,None,3.1827564500272274,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Camponello,stimuli/subj_files/ST02_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,BETON UTCA,stimuli/scenes/091a.jpg,scene,right,0,stimuli/scenes/091a.jpg,stimuli/scenes/091b.jpg,stimuli/scenes/119a.jpg,stimuli/scenes/091a.jpg,stimuli/scenes/119b.jpg,lure,dist1,target,dist2,0,0,0,0,0,6,6,16,,,,,,,,,,,,,117.39823466539383,118.42593475989997,118.42593475989997,118.42593475989997,118.42593475989997,118.42593475989997,118.42593475989997,left,0,122.42306914739311,122.42306914739311,122.42306914739311,122.42306914739311,None,1.8691285848617554,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Camponello,stimuli/subj_files/ST02_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,BOLYGÓ UTCA,stimuli/objects/091a.jpg,object,left,2,stimuli/scenes/021a.jpg,stimuli/objects/089b.jpg,stimuli/scenes/021b.jpg,stimuli/scenes/021a.jpg,stimuli/objects/089a.jpg,dist2,lure,target,dist1,0,0,0,0,0,7,7,54,,,,,,,,,,,,,124.41384532116354,125.4456914421171,125.4456914421171,125.4456914421171,125.4456914421171,125.4456914421171,125.4456914421171,down,0,129.4611095841974,129.4611095841974,129.4611095841974,129.4611095841974,None,1.7770290188491344,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Camponello,stimuli/subj_files/ST02_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,PETÁRDA UTCA,stimuli/objects/023a.jpg,object,left,0,stimuli/objects/023a.jpg,stimuli/objects/023b.jpg,stimuli/objects/023a.jpg,stimuli/objects/054b.jpg,stimuli/objects/054a.jpg,lure,target,dist2,dist1,0,0,0,0,0,8,8,2,,,,,,,,,,,,,131.4204383455217,132.44161197170615,132.44161197170615,132.44161197170615,132.44161197170615,132.44161197170615,132.44161197170615,down,0,136.44934452325106,136.44934452325106,136.44934452325106,136.44934452325106,None,0.9887117855250835,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
