CityName,StimuliFile,CityImage,StreetSign,LearningVideoFile,UpdatingVideoFile,Cue,Image,Category,CorrectResponse,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlockLearning.thisRepN,CityBlockLearning.thisTrialN,CityBlockLearning.thisN,CityBlockLearning.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,CityBlockUpdating.thisRepN,CityBlockUpdating.thisTrialN,CityBlockUpdating.thisN,CityBlockUpdating.thisIndex,UpdatingTrials.thisRepN,UpdatingTrials.thisTrialN,UpdatingTrials.thisN,UpdatingTrials.thisIndex,Test4afctTrials.thisRepN,Test4afctTrials.thisTrialN,Test4afctTrials.thisN,Test4afctTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,learning_cityname_text.started,learning_city_image.started,load_video_2.started,learning_movie.started,learning_end_vid_key.started,learning_end_vid_key.keys,text_countdown.started,cityname_text_start.started,Phase,fx_cross.started,plate_learning.started,learning_city_text.started,learning_street_text.started,learning_image.started,learning_skip_key.started,learning_skip_key.keys,short_break_key.keys,fx_cross.stopped,plate_learning.stopped,learning_city_text.stopped,learning_street_text.stopped,learning_image.stopped,learning_skip_key.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,learning_phase_test_text.started,learning_phase_key.started,learning_phase_key.keys,learning_phase_key.rt,text_countdown.stopped,cityname_text_start.stopped,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,test_key_resp.corr,text_response_test.text,written_text_mouse.x,written_text_mouse.y,written_text_mouse.leftButton,written_text_mouse.midButton,written_text_mouse.rightButton,written_text_mouse.time,test_key_resp.rt,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,text_response_test.started,written_text_mouse.started,plate_test.stopped,city_text_test.stopped,street_text_test.stopped,test_question.stopped,test_key_resp.stopped,button_image.stopped,long_break1_break_text.started,long_break1_key.started,long_break1_key.keys,long_break1_key.rt,end_learning_text.started,continue_updating_key.started,continue_updating_key.keys,continue_updating_key.rt,updating_instructions_text.started,intro_updating_key.started,intro_updating_key.keys,intro_updating_key.rt,cityname_text_intro.started,city_image_update.started,load_video.started,movie.started,end_vid_key.started,end_vid_key.keys,cityname_text.started,city_image.started,plate.started,city_text.started,street_text.started,fx_cross_prediction.started,key_resp_update.started,button_image_updating.started,skip_key.started,key_resp_update.keys,key_resp_update.corr,key_resp_update.rt,skip_key.keys,plate_updating.started,city_text_updating.started,street_text_updating.started,updating_image.started,skip_key_updating.started,skip_key_updating.keys,plate.stopped,city_text.stopped,street_text.stopped,fx_cross_prediction.stopped,key_resp_update.stopped,button_image_updating.stopped,skip_key.stopped,plate_updating.stopped,city_text_updating.stopped,street_text_updating.stopped,updating_image.stopped,skip_key_updating.stopped,long_break2_text.started,long_break2_key_resp.started,long_break2_key_resp.keys,long_break2_key_resp.rt,end_text_updating.started,continue_key.started,continue_key.keys,continue_key.rt,instructions_4afct_text.started,intro_4afct_key.started,intro_4afct_key.keys,intro_4afct_key.rt,updating_cue,reinstated,street_text_4afct.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp_4afct.started,key_resp_4afct.keys,key_resp_4afct.rt,test4afct_resp,short_break_4afct_key.keys,short_break_4afct_text.started,short_break_4afct_key.started,short_break_4afct_key.rt,clock0.started,clock0.stopped,n_targets,n_lures,n_dist1s,n_dist2s,end_experiment_text.started,end_experiment_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.971508800052106,19.971508800052106,space,23.512076700106263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,SAJTÓ UTCA,stimuli/objects/031a.jpg,object,left,2,stimuli/scenes/042a.jpg,stimuli/scenes/042b.jpg,stimuli/objects/078a.jpg,stimuli/objects/078b.jpg,stimuli/scenes/042a.jpg,lure,dist1,dist2,target,0,0,0,0,0,0,0,41,,,,,,,,,,,,,,,,,,,,,43.6299242998939,43.6299242998939,0.07553429994732141,46.744612799957395,46.744612799957395,None,62.08757360000163,62.08757360000163,Learning,64.53308809990995,65.54121550009586,65.54121550009586,65.54121550009586,65.54121550009586,65.54121550009586,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,LÉTRA UTCA,stimuli/scenes/082a.jpg,scene,right,1,stimuli/scenes/054a.jpg,stimuli/scenes/054b.jpg,stimuli/scenes/031b.jpg,stimuli/scenes/031a.jpg,stimuli/scenes/054a.jpg,lure,dist2,dist1,target,0,0,0,0,0,1,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,68.51850160001777,69.52392349997535,69.52392349997535,69.52392349997535,69.52392349997535,69.52392349997535,None,None,69.52392349997535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,TERÍTŐ UTCA,stimuli/scenes/015a.jpg,scene,right,2,stimuli/objects/039a.jpg,stimuli/objects/039a.jpg,stimuli/objects/036a.jpg,stimuli/objects/036b.jpg,stimuli/objects/039b.jpg,target,dist1,dist2,lure,0,0,0,0,0,2,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,72.53486300003715,73.53856320003979,73.53856320003979,73.53856320003979,73.53856320003979,73.53856320003979,None,None,73.53856320003979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,KÖTÉNY UTCA,stimuli/objects/057a.jpg,object,left,2,stimuli/scenes/114a.jpg,stimuli/scenes/114a.jpg,stimuli/scenes/079a.jpg,stimuli/scenes/114b.jpg,stimuli/scenes/079b.jpg,target,dist1,lure,dist2,0,0,0,0,0,3,3,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,76.55145379994065,77.563183600083,77.563183600083,77.563183600083,77.563183600083,77.563183600083,None,None,77.563183600083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,PÁRNA UTCA,stimuli/scenes/048a.jpg,scene,right,0,stimuli/scenes/048a.jpg,stimuli/objects/103a.jpg,stimuli/objects/103b.jpg,stimuli/scenes/048a.jpg,stimuli/scenes/048b.jpg,dist1,dist2,target,lure,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,80.56821579998359,81.57471719989553,81.57471719989553,81.57471719989553,81.57471719989553,81.57471719989553,None,None,81.57471719989553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,TÜKÖR UTCA,stimuli/scenes/041a.jpg,scene,right,0,stimuli/scenes/041a.jpg,stimuli/objects/033b.jpg,stimuli/scenes/041b.jpg,stimuli/scenes/041a.jpg,stimuli/objects/033a.jpg,dist2,lure,target,dist1,0,0,0,0,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,84.58517109998502,85.58724369993433,85.58724369993433,85.58724369993433,85.58724369993433,85.58724369993433,None,None,85.58724369993433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,PAPAGÁJ UTCA,stimuli/objects/032a.jpg,object,left,2,stimuli/scenes/079a.jpg,stimuli/scenes/090a.jpg,stimuli/scenes/079a.jpg,stimuli/scenes/079b.jpg,stimuli/scenes/090b.jpg,dist1,target,lure,dist2,0,0,0,0,0,6,6,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,88.60139569989406,89.60741150006652,89.60741150006652,89.60741150006652,89.60741150006652,89.60741150006652,None,None,89.60741150006652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,BETON UTCA,stimuli/objects/103a.jpg,object,left,0,stimuli/objects/103a.jpg,stimuli/scenes/019a.jpg,stimuli/scenes/019b.jpg,stimuli/objects/103a.jpg,stimuli/objects/103b.jpg,dist1,dist2,target,lure,0,0,0,0,0,7,7,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,92.61787339998409,93.62772649992257,93.62772649992257,93.62772649992257,93.62772649992257,93.62772649992257,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,FIÓK UTCA,stimuli/objects/112a.jpg,object,left,0,stimuli/objects/112a.jpg,stimuli/objects/112a.jpg,stimuli/objects/112b.jpg,stimuli/objects/066a.jpg,stimuli/objects/066b.jpg,target,lure,dist1,dist2,0,0,0,0,0,8,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,96.63467970001511,97.64280180004425,97.64280180004425,97.64280180004425,97.64280180004425,97.64280180004425,None,None,97.64280180004425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
