CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,fx_cross_prediction.started,plate_updating.started,city_text_updating.started,street_text_updating.started,updating_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,15.61936985142529,15.61936985142529,space,81.54975614324212,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,FÜGE UTCA,stimuli/objects/109a.jpg,object,2,stimuli/scenes/104a.jpg,stimuli/scenes/104b.jpg,stimuli/objects/030b.jpg,stimuli/scenes/104a.jpg,stimuli/objects/030a.jpg,lure,dist2,target,dist1,0,0,0,0,0,0,0,9,,,,,97.2581241093576,97.2581241093576,100.22631468623877,101.2482138890773,101.2482138890773,101.2482138890773,101.2482138890773,104.23144349269569,104.23144349269569,104.23144349269569,104.23144349269569,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,ZSEMLE UTCA,stimuli/objects/035a.jpg,object,2,stimuli/scenes/100a.jpg,stimuli/objects/120a.jpg,stimuli/scenes/100b.jpg,stimuli/objects/120b.jpg,stimuli/scenes/100a.jpg,dist1,lure,dist2,target,0,0,0,0,0,1,1,27,,,,,,,107.19600897841156,108.2203075978905,108.2203075978905,108.2203075978905,108.2203075978905,111.23741916939616,111.23741916939616,111.23741916939616,111.23741916939616,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,FIÓK UTCA,stimuli/objects/012a.jpg,object,0,stimuli/objects/012a.jpg,stimuli/objects/012a.jpg,stimuli/objects/024b.jpg,stimuli/objects/012b.jpg,stimuli/objects/024a.jpg,target,dist2,lure,dist1,0,0,0,0,0,2,2,31,,,,,,,114.21174963377416,115.23576305992901,115.23576305992901,115.23576305992901,115.23576305992901,118.24330869689584,118.24330869689584,118.24330869689584,118.24330869689584,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÖNYVTÁR UTCA,stimuli/objects/070a.jpg,object,0,stimuli/objects/070a.jpg,stimuli/objects/070a.jpg,stimuli/scenes/100b.jpg,stimuli/scenes/100a.jpg,stimuli/objects/070b.jpg,target,dist2,dist1,lure,0,0,0,0,0,3,3,79,,,,,,,121.2282451018691,122.25491763278842,122.25491763278842,122.25491763278842,122.25491763278842,125.2595342118293,125.2595342118293,125.2595342118293,125.2595342118293,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÖTÉNY UTCA,stimuli/scenes/108a.jpg,scene,2,stimuli/objects/066a.jpg,stimuli/objects/072b.jpg,stimuli/objects/072a.jpg,stimuli/objects/066b.jpg,stimuli/objects/066a.jpg,dist2,dist1,lure,target,0,0,0,0,0,4,4,36,,,,,,,128.24446315318346,129.27283502183855,129.27283502183855,129.27283502183855,129.27283502183855,132.30975707806647,132.30975707806647,132.30975707806647,132.30975707806647,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TISZTÁS UTCA,stimuli/objects/021a.jpg,object,2,stimuli/scenes/029a.jpg,stimuli/objects/018b.jpg,stimuli/scenes/029b.jpg,stimuli/scenes/029a.jpg,stimuli/objects/018a.jpg,dist2,lure,target,dist1,0,0,0,0,0,5,5,67,,,,,,,135.24444418214262,136.27116678282619,136.27116678282619,136.27116678282619,136.27116678282619,139.28816359303892,139.28816359303892,139.28816359303892,139.28816359303892,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MAJORÁNNA UTCA,stimuli/objects/068a.jpg,object,0,stimuli/objects/068a.jpg,stimuli/objects/068a.jpg,stimuli/scenes/118a.jpg,stimuli/objects/068b.jpg,stimuli/scenes/118b.jpg,target,dist1,lure,dist2,0,0,0,0,0,6,6,57,,,,,,,142.24936025962234,143.28424211405218,143.28424211405218,143.28424211405218,143.28424211405218,146.27849284932017,146.27849284932017,146.27849284932017,146.27849284932017,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SZERSZÁM UTCA,stimuli/objects/037a.jpg,object,0,stimuli/objects/037a.jpg,stimuli/objects/037a.jpg,stimuli/scenes/097b.jpg,stimuli/scenes/097a.jpg,stimuli/objects/037b.jpg,target,dist2,dist1,lure,0,0,0,0,0,7,7,19,,,,,,,149.26311513967812,150.2820408102125,150.2820408102125,150.2820408102125,150.2820408102125,153.2974353171885,153.2974353171885,153.2974353171885,153.2974353171885,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TEHÉN UTCA,stimuli/objects/006a.jpg,object,1,stimuli/objects/017a.jpg,stimuli/objects/017a.jpg,stimuli/objects/017b.jpg,stimuli/scenes/113b.jpg,stimuli/scenes/113a.jpg,target,lure,dist2,dist1,0,0,0,0,0,8,8,28,,,,,,,156.2793885488063,157.29913776554167,157.29913776554167,157.29913776554167,157.29913776554167,160.3417624346912,160.3417624346912,160.3417624346912,160.3417624346912,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
