CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,learning_instructions_text.stopped,intro_key.keys,intro_key.rt,intro_key.started,intro_key.stopped,cityname_text.started,cityname_text.stopped,city_image.started,city_image.stopped,fx_cross.started,fx_cross.stopped,plate.started,plate.stopped,city_text.started,city_text.stopped,street_text.started,street_text.stopped,fx_cross_prediction.started,fx_cross_prediction.stopped,plate_updating.started,plate_updating.stopped,city_text_updating.started,city_text_updating.stopped,street_text_updating.started,street_text_updating.stopped,updating_image.started,updating_image.stopped,short_break_text.started,short_break_text.stopped,short_break_key.keys,short_break_key.started,short_break_key.stopped,short_break_key.rt,break_text.started,break_text.stopped,break_key_resp.keys,break_key_resp.rt,break_key_resp.started,break_key_resp.stopped,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,108.10599259939045,None,space,41.63968425383791,108.10599259939045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÁRTYA UTCA,stimuli/scenes/079a.jpg,scene,1,stimuli/scenes/094a.jpg,stimuli/scenes/094a.jpg,stimuli/scenes/105a.jpg,stimuli/scenes/105b.jpg,stimuli/scenes/094b.jpg,target,dist1,dist2,lure,0,0,0,0,0,0,0,30,,,,,,,149.8642823244445,None,149.8642823244445,None,152.8067843602039,None,153.82554614311084,None,153.82554614311084,None,153.82554614311084,None,153.82554614311084,None,156.81068220548332,None,156.81068220548332,None,156.81068220548332,None,156.81068220548332,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PAPAGÁJ UTCA,stimuli/scenes/023a.jpg,scene,1,stimuli/scenes/113a.jpg,stimuli/objects/070b.jpg,stimuli/scenes/113b.jpg,stimuli/objects/070a.jpg,stimuli/scenes/113a.jpg,dist2,lure,dist1,target,0,0,0,0,0,1,1,53,,,,,,,,,,,159.78919569356367,None,160.82317378511652,None,160.82317378511652,None,160.82317378511652,None,160.82317378511652,None,163.82206660183147,None,163.82206660183147,None,163.82206660183147,None,163.82206660183147,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,DOBOZ UTCA,stimuli/scenes/030a.jpg,scene,1,stimuli/scenes/060a.jpg,stimuli/scenes/051a.jpg,stimuli/scenes/060b.jpg,stimuli/scenes/060a.jpg,stimuli/scenes/051b.jpg,dist1,lure,target,dist2,0,0,0,0,0,2,2,21,,,,,,,,,,,166.8077864232473,None,167.84150513540953,None,167.84150513540953,None,167.84150513540953,None,167.84150513540953,None,170.8540004468523,None,170.8540004468523,None,170.8540004468523,None,170.8540004468523,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,ZSEMLE UTCA,stimuli/objects/035a.jpg,object,2,stimuli/scenes/100a.jpg,stimuli/objects/120a.jpg,stimuli/scenes/100b.jpg,stimuli/objects/120b.jpg,stimuli/scenes/100a.jpg,dist1,lure,dist2,target,0,0,0,0,0,3,3,27,,,,,,,,,,,173.82091525522992,None,174.84028723323718,None,174.84028723323718,None,174.84028723323718,None,174.84028723323718,None,177.85902071511373,None,177.85902071511373,None,177.85902071511373,None,177.85902071511373,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,GYŰRŰ UTCA,stimuli/scenes/007a.jpg,scene,0,stimuli/scenes/007a.jpg,stimuli/scenes/076a.jpg,stimuli/scenes/007b.jpg,stimuli/scenes/007a.jpg,stimuli/scenes/076b.jpg,dist1,lure,target,dist2,0,0,0,0,0,4,4,76,,,,,,,,,,,180.83428605040535,None,181.85750331403688,None,181.85750331403688,None,181.85750331403688,None,181.85750331403688,None,184.85411396436393,None,184.85411396436393,None,184.85411396436393,None,184.85411396436393,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TÖLCSÉR UTCA,stimuli/scenes/068a.jpg,scene,0,stimuli/scenes/068a.jpg,stimuli/objects/039a.jpg,stimuli/scenes/068a.jpg,stimuli/scenes/068b.jpg,stimuli/objects/039b.jpg,dist1,target,lure,dist2,0,0,0,0,0,5,5,46,,,,,,,,,,,187.84581661969423,None,188.8768640961498,None,188.8768640961498,None,188.8768640961498,None,188.8768640961498,None,191.8677631104365,None,191.8677631104365,None,191.8677631104365,None,191.8677631104365,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KAKAS UTCA,stimuli/scenes/057a.jpg,scene,1,stimuli/scenes/076a.jpg,stimuli/scenes/076b.jpg,stimuli/objects/014b.jpg,stimuli/objects/014a.jpg,stimuli/scenes/076a.jpg,lure,dist2,dist1,target,0,0,0,0,0,6,6,18,,,,,,,,,,,194.85660823713988,None,195.88725980184972,None,195.88725980184972,None,195.88725980184972,None,195.88725980184972,None,198.9112943909131,None,198.9112943909131,None,198.9112943909131,None,198.9112943909131,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,ZSÁLYA UTCA,stimuli/objects/034a.jpg,object,2,stimuli/scenes/117a.jpg,stimuli/scenes/117b.jpg,stimuli/scenes/001b.jpg,stimuli/scenes/117a.jpg,stimuli/scenes/001a.jpg,lure,dist2,target,dist1,0,0,0,0,0,7,7,33,,,,,,,,,,,201.878597646486,None,202.89546850975603,None,202.89546850975603,None,202.89546850975603,None,202.89546850975603,None,205.9057475887239,None,205.9057475887239,None,205.9057475887239,None,205.9057475887239,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TOLMÁCS UTCA,stimuli/objects/049a.jpg,object,2,stimuli/scenes/097a.jpg,stimuli/scenes/097b.jpg,stimuli/scenes/077a.jpg,stimuli/scenes/097a.jpg,stimuli/scenes/077b.jpg,lure,dist1,target,dist2,0,0,0,0,0,8,8,23,,,,,,,,,,,208.88398987893015,None,209.90598457539454,None,209.90598457539454,None,209.90598457539454,None,209.90598457539454,None,212.90309034846723,None,212.90309034846723,None,212.90309034846723,None,212.90309034846723,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,BONBON UTCA,stimuli/scenes/022a.jpg,scene,0,stimuli/scenes/022a.jpg,stimuli/scenes/022a.jpg,stimuli/scenes/022b.jpg,stimuli/scenes/018a.jpg,stimuli/scenes/018b.jpg,target,lure,dist1,dist2,0,0,0,0,0,9,9,43,,,,,,,,,,,215.8875505933538,None,216.91282516531646,None,216.91282516531646,None,216.91282516531646,None,216.91282516531646,None,219.92679464817047,None,219.92679464817047,None,219.92679464817047,None,219.92679464817047,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SZILVA UTCA,stimuli/objects/059a.jpg,object,2,stimuli/scenes/070a.jpg,stimuli/scenes/114b.jpg,stimuli/scenes/070a.jpg,stimuli/scenes/070b.jpg,stimuli/scenes/114a.jpg,dist2,target,lure,dist1,0,0,0,0,0,10,10,71,,,,,,,,,,,222.90041382564232,None,223.9318149164319,None,223.9318149164319,None,223.9318149164319,None,223.9318149164319,None,226.91663966095075,None,226.91663966095075,None,226.91663966095075,None,226.91663966095075,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,FIÓK UTCA,stimuli/objects/012a.jpg,object,0,stimuli/objects/012a.jpg,stimuli/objects/012a.jpg,stimuli/objects/024b.jpg,stimuli/objects/012b.jpg,stimuli/objects/024a.jpg,target,dist2,lure,dist1,0,0,0,0,0,11,11,31,,,,,,,,,,,229.91183958528563,None,230.93938948167488,None,230.93938948167488,None,230.93938948167488,None,230.93938948167488,None,233.93773181689903,None,233.93773181689903,None,233.93773181689903,None,233.93773181689903,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,ÁLOM UTCA,stimuli/scenes/031a.jpg,scene,1,stimuli/scenes/114a.jpg,stimuli/scenes/114b.jpg,stimuli/scenes/080b.jpg,stimuli/scenes/114a.jpg,stimuli/scenes/080a.jpg,lure,dist2,target,dist1,0,0,0,0,0,12,12,15,,,,,,,,,,,236.91700696013868,None,237.93104890733957,None,237.93104890733957,None,237.93104890733957,None,237.93104890733957,None,240.95492612663656,None,240.95492612663656,None,240.95492612663656,None,240.95492612663656,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,LOVAGLÁS UTCA,stimuli/objects/110a.jpg,object,1,stimuli/objects/010a.jpg,stimuli/objects/010b.jpg,stimuli/scenes/007a.jpg,stimuli/objects/010a.jpg,stimuli/scenes/007b.jpg,lure,dist1,target,dist2,0,0,0,0,0,13,13,22,,,,,,,,,,,243.9271806073375,None,244.95090325642377,None,244.95090325642377,None,244.95090325642377,None,244.95090325642377,None,247.96440467471257,None,247.96440467471257,None,247.96440467471257,None,247.96440467471257,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SIVATAG UTCA,stimuli/scenes/085a.jpg,scene,2,stimuli/objects/038a.jpg,stimuli/objects/012b.jpg,stimuli/objects/038a.jpg,stimuli/objects/038b.jpg,stimuli/objects/012a.jpg,dist2,target,lure,dist1,0,0,0,0,0,14,14,35,,,,,,,,,,,250.9377097352408,None,251.9638408194296,None,251.9638408194296,None,251.9638408194296,None,251.9638408194296,None,255.00425332644954,None,255.00425332644954,None,255.00425332644954,None,255.00425332644954,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KIFLI UTCA,stimuli/scenes/006a.jpg,scene,0,stimuli/scenes/006a.jpg,stimuli/scenes/006a.jpg,stimuli/scenes/006b.jpg,stimuli/scenes/014b.jpg,stimuli/scenes/014a.jpg,target,lure,dist2,dist1,0,0,0,0,0,15,15,62,,,,,,,,,,,257.95349363051355,None,258.9715357446112,None,258.9715357446112,None,258.9715357446112,None,258.9715357446112,None,261.98324731970206,None,261.98324731970206,None,261.98324731970206,None,261.98324731970206,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,FÜGE UTCA,stimuli/objects/109a.jpg,object,2,stimuli/scenes/104a.jpg,stimuli/scenes/104b.jpg,stimuli/objects/030b.jpg,stimuli/scenes/104a.jpg,stimuli/objects/030a.jpg,lure,dist2,target,dist1,0,0,0,0,0,16,16,9,,,,,,,,,,,264.9724043859169,None,266.0021602520719,None,266.0021602520719,None,266.0021602520719,None,266.0021602520719,None,269.0056945309043,None,269.0056945309043,None,269.0056945309043,None,269.0056945309043,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KERET UTCA,stimuli/objects/046a.jpg,object,0,stimuli/objects/046a.jpg,stimuli/objects/046b.jpg,stimuli/scenes/022b.jpg,stimuli/scenes/022a.jpg,stimuli/objects/046a.jpg,lure,dist2,dist1,target,0,0,0,0,0,17,17,29,,,,,,,,,,,271.98733519017696,None,273.023770544678,None,273.023770544678,None,273.023770544678,None,273.023770544678,None,276.0349198197946,None,276.0349198197946,None,276.0349198197946,None,276.0349198197946,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,FÜZET UTCA,stimuli/scenes/008a.jpg,scene,2,stimuli/objects/024a.jpg,stimuli/objects/024b.jpg,stimuli/scenes/117a.jpg,stimuli/objects/024a.jpg,stimuli/scenes/117b.jpg,lure,dist1,target,dist2,0,0,0,0,0,18,18,69,,,,,,,,,,,279.00409067003056,None,280.02937892638147,None,280.02937892638147,None,280.02937892638147,None,280.02937892638147,None,283.0324886809103,None,283.0324886809103,None,283.0324886809103,None,283.0324886809103,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÖTÉNY UTCA,stimuli/scenes/108a.jpg,scene,2,stimuli/objects/066a.jpg,stimuli/objects/072b.jpg,stimuli/objects/072a.jpg,stimuli/objects/066b.jpg,stimuli/objects/066a.jpg,dist2,dist1,lure,target,0,0,0,0,0,19,19,36,,,,,,,,,,,286.01472305180505,None,287.04073750879616,None,287.04073750879616,None,287.04073750879616,None,287.04073750879616,None,290.0775264776312,None,290.0775264776312,None,290.0775264776312,None,290.0775264776312,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SZITAKÖTŐ UTCA,stimuli/objects/064a.jpg,object,0,stimuli/objects/064a.jpg,stimuli/objects/037b.jpg,stimuli/objects/064a.jpg,stimuli/objects/064b.jpg,stimuli/objects/037a.jpg,dist2,target,lure,dist1,0,0,0,0,0,20,20,3,,,,,,,,,,,293.0205338988453,None,294.0493937549181,None,294.0493937549181,None,294.0493937549181,None,294.0493937549181,None,297.05136740300804,None,297.05136740300804,None,297.05136740300804,None,297.05136740300804,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TÁBLA UTCA,stimuli/objects/118a.jpg,object,1,stimuli/objects/042a.jpg,stimuli/scenes/084a.jpg,stimuli/scenes/084b.jpg,stimuli/objects/042a.jpg,stimuli/objects/042b.jpg,dist1,dist2,target,lure,0,0,0,0,0,21,21,78,,,,,,,,,,,300.02814889512956,None,301.05119759310037,None,301.05119759310037,None,301.05119759310037,None,301.05119759310037,None,304.0491446387023,None,304.0491446387023,None,304.0491446387023,None,304.0491446387023,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MAJORÁNNA UTCA,stimuli/objects/068a.jpg,object,0,stimuli/objects/068a.jpg,stimuli/objects/068a.jpg,stimuli/scenes/118a.jpg,stimuli/objects/068b.jpg,stimuli/scenes/118b.jpg,target,dist1,lure,dist2,0,0,0,0,0,22,22,57,,,,,,,,,,,307.0330907898024,None,308.06401261966676,None,308.06401261966676,None,308.06401261966676,None,308.06401261966676,None,311.0485901138745,None,311.0485901138745,None,311.0485901138745,None,311.0485901138745,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,LEPKE UTCA,stimuli/scenes/046a.jpg,scene,0,stimuli/scenes/046a.jpg,stimuli/scenes/094a.jpg,stimuli/scenes/046a.jpg,stimuli/scenes/046b.jpg,stimuli/scenes/094b.jpg,dist1,target,lure,dist2,0,0,0,0,0,23,23,61,,,,,,,,,,,314.0364375319332,None,315.0573751172051,None,315.0573751172051,None,315.0573751172051,None,315.0573751172051,None,318.0746002169326,None,318.0746002169326,None,318.0746002169326,None,318.0746002169326,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TOLLTARTÓ UTCA,stimuli/objects/117a.jpg,object,2,stimuli/scenes/045a.jpg,stimuli/scenes/045b.jpg,stimuli/scenes/120b.jpg,stimuli/scenes/045a.jpg,stimuli/scenes/120a.jpg,lure,dist2,target,dist1,0,0,0,0,0,24,24,58,,,,,,,,,,,321.0495906220749,None,322.06297634588555,None,322.06297634588555,None,322.06297634588555,None,322.06297634588555,None,325.0647018100135,None,325.0647018100135,None,325.0647018100135,None,325.0647018100135,None,None,None,None,None,None,,,,,,,,,,pilot1,2022_Jun_16_1001,Hippopolis_Updating,2021.1.2,60.00059718860514,
