Hippopolis,Camponello,,,,Hippopolis,Camponello,Hippopolis,Camponello
target,target,,,Target,33,18,0.785714286,1
target,target,,,Lure,4,0,0.095238095,0
lure,target,,,Dist1,2,0,0.047619048,0
target,target,,,Dist2,1,0,0.023809524,0
dist1,target,,,,,,,
target,target,,,,,,,
target,target,,,,,,,
target,target,,,,,,,
target,target,,,,,,,
target,target,,,,,,,
lure,target,,,,,,,
dist1,target,,,,,,,
target,target,,,,,,,
target,target,,,,,,,
target,target,,,,,,,
target,target,,,,,,,
target,target,,,,,,,
target,target,,,,,,,
target,,,,,,,,
target,,,,,,,,
dist2,,,,,,,,
lure,,,,,,,,
target,,,,,,,,
target,,,,,,,,
target,,,,,,,,
target,,,,,,,,
target,,,,,,,,
invalid,,,,,,,,
lure,,,,,,,,
target,,,,,,,,
target,,,,,,,,
target,,,,,,,,
target,,,,,,,,
target,,,,,,,,
target,,,,,,,,
target,,,,,,,,
target,,,,,,,,
invalid,,,,,,,,
target,,,,,,,,
target,,,,,,,,
target,,,,,,,,
target,,,,,,,,
