CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,clock0.started,clock0.stopped,key_resp.keys,test_resp,short_break_key.keys,fx_cross.stopped,key_resp.rt,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,15.580638699932024,15.580638699932024,space,16.180610699928366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,SZAPPAN UTCA,stimuli/objects/023a.jpg,object,1,stimuli/objects/087a.jpg,stimuli/scenes/012b.jpg,stimuli/objects/087b.jpg,stimuli/objects/087a.jpg,stimuli/scenes/012a.jpg,dist2,lure,target,dist1,0,0,0,1,0,0,0,7,,,,,31.88725120003801,31.88725120003801,34.82402689999435,35.86151690001134,35.86151690001134,35.86151690001134,35.86151690001134,35.86151690001134,35.86151690001134,35.86151690001134,35.86151690001134,35.86151690001134,35.86151690001134,35.86151690001134,35.86151690001134,39.29157400003169,40.79139849997591,None,invalid,None,,,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,BOHÓC UTCA,stimuli/objects/064a.jpg,object,0,stimuli/objects/064a.jpg,stimuli/objects/040b.jpg,stimuli/objects/040a.jpg,stimuli/objects/064a.jpg,stimuli/objects/064b.jpg,dist2,dist1,target,lure,0,0,0,1,0,1,1,17,,,,,,,40.807418899959885,41.84570269996766,41.84570269996766,41.84570269996766,41.84570269996766,41.84570269996766,41.84570269996766,41.84570269996766,41.84570269996766,41.84570269996766,41.84570269996766,41.84570269996766,41.84570269996766,,,j,target,None,41.84570269996766,2.323882699944079,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,FÜZET UTCA,stimuli/scenes/047a.jpg,scene,1,stimuli/scenes/012a.jpg,stimuli/scenes/012b.jpg,stimuli/objects/010b.jpg,stimuli/scenes/012a.jpg,stimuli/objects/010a.jpg,lure,dist2,target,dist1,0,0,0,1,0,2,2,56,,,,,,,44.19084259995725,45.21424639993347,45.21424639993347,45.21424639993347,45.21424639993347,45.21424639993347,45.21424639993347,45.21424639993347,45.21424639993347,45.21424639993347,45.21424639993347,45.21424639993347,45.21424639993347,,,k,dist1,None,45.21424639993347,2.312716000014916,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,SZOBOR UTCA,stimuli/objects/031a.jpg,object,1,stimuli/objects/010a.jpg,stimuli/objects/010a.jpg,stimuli/objects/044b.jpg,stimuli/objects/044a.jpg,stimuli/objects/010b.jpg,target,dist2,dist1,lure,0,0,0,1,0,3,3,79,,,,,,,47.55708599998616,48.58668489998672,48.58668489998672,48.58668489998672,48.58668489998672,48.58668489998672,48.58668489998672,48.58668489998672,48.58668489998672,48.58668489998672,48.58668489998672,48.58668489998672,48.58668489998672,,,j,dist1,None,48.58668489998672,2.4354280999395996,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,TISZTÁS UTCA,stimuli/objects/116a.jpg,object,0,stimuli/objects/116a.jpg,stimuli/objects/058a.jpg,stimuli/objects/116a.jpg,stimuli/objects/116b.jpg,stimuli/objects/058b.jpg,dist1,target,lure,dist2,0,0,0,1,0,4,4,18,,,,,,,51.04035170003772,52.082102500018664,52.082102500018664,52.082102500018664,52.082102500018664,52.082102500018664,52.082102500018664,52.082102500018664,52.082102500018664,52.082102500018664,52.082102500018664,52.082102500018664,52.082102500018664,,,f,target,None,52.082102500018664,2.152168900007382,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,ZONGORA UTCA,stimuli/objects/034a.jpg,object,0,stimuli/objects/034a.jpg,stimuli/objects/034a.jpg,stimuli/objects/034b.jpg,stimuli/objects/016b.jpg,stimuli/objects/016a.jpg,target,lure,dist2,dist1,0,0,0,1,0,5,5,31,,,,,,,54.25694829993881,55.279649600037374,55.279649600037374,55.279649600037374,55.279649600037374,55.279649600037374,55.279649600037374,55.279649600037374,55.279649600037374,55.279649600037374,55.279649600037374,55.279649600037374,55.279649600037374,,,d,target,None,55.279649600037374,1.8578563999617472,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,HENTES UTCA,stimuli/scenes/092a.jpg,scene,0,stimuli/scenes/092a.jpg,stimuli/scenes/114b.jpg,stimuli/scenes/114a.jpg,stimuli/scenes/092a.jpg,stimuli/scenes/092b.jpg,dist2,dist1,target,lure,0,0,0,1,0,6,6,46,,,,,,,57.15675830002874,58.173910700017586,58.173910700017586,58.173910700017586,58.173910700017586,58.173910700017586,58.173910700017586,58.173910700017586,58.173910700017586,58.173910700017586,58.173910700017586,58.173910700017586,58.173910700017586,,,j,target,None,58.173910700017586,1.8214920000173151,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,TOLMÁCS UTCA,stimuli/scenes/082a.jpg,scene,0,stimuli/scenes/082a.jpg,stimuli/scenes/082b.jpg,stimuli/objects/081b.jpg,stimuli/objects/081a.jpg,stimuli/scenes/082a.jpg,lure,dist2,dist1,target,0,0,0,1,0,7,7,2,,,,,,,60.02324350003619,61.045262299943715,61.045262299943715,61.045262299943715,61.045262299943715,61.045262299943715,61.045262299943715,61.045262299943715,61.045262299943715,61.045262299943715,61.045262299943715,61.045262299943715,61.045262299943715,,,k,target,None,61.045262299943715,2.641889699967578,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,TULIPÁN UTCA,stimuli/objects/058a.jpg,object,0,stimuli/objects/058a.jpg,stimuli/objects/117a.jpg,stimuli/objects/117b.jpg,stimuli/objects/058b.jpg,stimuli/objects/058a.jpg,dist1,dist2,lure,target,0,0,0,1,0,8,8,1,,,,,,,63.70664560003206,64.71907570003532,64.71907570003532,64.71907570003532,64.71907570003532,64.71907570003532,64.71907570003532,64.71907570003532,64.71907570003532,64.71907570003532,64.71907570003532,64.71907570003532,64.71907570003532,,,k,target,None,64.71907570003532,2.1032891999930143,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
