CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,learning_image.started,short_break_key.keys,fx_cross.stopped,plate.stopped,city_text.stopped,street_text.stopped,learning_image.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,test_text.started,key_resp.started,key_resp.keys,key_resp.rt,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,verbal_test_key_resp.keys,test_key_resp.rt,plate_test.stopped,city_text_test.stopped,street_text_test.stopped,test_question.stopped,test_key_resp.stopped,button_image.stopped,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,verbal_test_key_resp.started,verbal_test_key_resp.rt,n_remembered,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.71423090004828,43.71423090004828,space,35.76526510005351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PULÓVER UTCA,stimuli/objects/114a.jpg,object,0,stimuli/objects/114a.jpg,stimuli/scenes/050b.jpg,stimuli/scenes/050a.jpg,stimuli/objects/114b.jpg,stimuli/objects/114a.jpg,dist2,dist1,lure,target,0,0,0,0,0,0,0,43,,,,,,,,,79.57865290006157,79.57865290006157,82.52629629999865,83.55393289995845,83.55393289995845,83.55393289995845,83.55393289995845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HEGEDŰ UTCA,stimuli/scenes/113a.jpg,scene,2,stimuli/objects/036a.jpg,stimuli/objects/036b.jpg,stimuli/scenes/059b.jpg,stimuli/scenes/059a.jpg,stimuli/objects/036a.jpg,lure,dist2,dist1,target,0,0,0,0,0,1,1,69,,,,,,,,,,,86.51773459999822,87.5225542000262,87.5225542000262,87.5225542000262,87.5225542000262,None,87.5225542000262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,LIGET UTCA,stimuli/objects/038a.jpg,object,2,stimuli/scenes/109a.jpg,stimuli/scenes/109a.jpg,stimuli/objects/055a.jpg,stimuli/scenes/109b.jpg,stimuli/objects/055b.jpg,target,dist1,lure,dist2,0,0,0,0,0,2,2,62,,,,,,,,,,,90.53374380001333,91.54785510001238,91.54785510001238,91.54785510001238,91.54785510001238,None,91.54785510001238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,EGÉR UTCA,stimuli/scenes/071a.jpg,scene,1,stimuli/scenes/116a.jpg,stimuli/scenes/116b.jpg,stimuli/scenes/116a.jpg,stimuli/scenes/009b.jpg,stimuli/scenes/009a.jpg,lure,target,dist2,dist1,0,0,0,0,0,3,3,29,,,,,,,,,,,94.55098880000878,95.55267740006093,95.55267740006093,95.55267740006093,95.55267740006093,None,95.55267740006093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KAKAS UTCA,stimuli/objects/002a.jpg,object,2,stimuli/scenes/074a.jpg,stimuli/scenes/074b.jpg,stimuli/scenes/074a.jpg,stimuli/scenes/070a.jpg,stimuli/scenes/070b.jpg,lure,target,dist1,dist2,0,0,0,0,0,4,4,24,,,,,,,,,,,98.56740780000109,99.57418770005461,99.57418770005461,99.57418770005461,99.57418770005461,None,99.57418770005461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HORDÓ UTCA,stimuli/scenes/095a.jpg,scene,0,stimuli/scenes/095a.jpg,stimuli/scenes/095a.jpg,stimuli/scenes/046a.jpg,stimuli/scenes/095b.jpg,stimuli/scenes/046b.jpg,target,dist1,lure,dist2,0,0,0,0,0,5,5,27,,,,,,,,,,,102.58421500003897,103.58726810000371,103.58726810000371,103.58726810000371,103.58726810000371,None,103.58726810000371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,LAKAT UTCA,stimuli/objects/066a.jpg,object,2,stimuli/scenes/084a.jpg,stimuli/scenes/084b.jpg,stimuli/scenes/034a.jpg,stimuli/scenes/084a.jpg,stimuli/scenes/034b.jpg,lure,dist1,target,dist2,0,0,0,0,0,6,6,58,,,,,,,,,,,106.60076159995515,107.60109160002321,107.60109160002321,107.60109160002321,107.60109160002321,None,107.60109160002321,110.60049900005106,110.60049900005106,110.60049900005106,110.60049900005106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,CSILLAG UTCA,stimuli/scenes/083a.jpg,scene,1,stimuli/scenes/117a.jpg,stimuli/scenes/117a.jpg,stimuli/scenes/117b.jpg,stimuli/objects/041a.jpg,stimuli/objects/041b.jpg,target,lure,dist1,dist2,0,0,0,0,0,7,7,15,,,,,,,,,,,110.60049900005106,111.60117090004496,111.60117090004496,111.60117090004496,111.60117090004496,None,111.60117090004496,114.60039040003903,114.60039040003903,114.60039040003903,114.60039040003903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KOCKA UTCA,stimuli/objects/062a.jpg,object,0,stimuli/objects/062a.jpg,stimuli/scenes/095b.jpg,stimuli/objects/062a.jpg,stimuli/objects/062b.jpg,stimuli/scenes/095a.jpg,dist2,target,lure,dist1,0,0,0,0,0,8,8,35,,,,,,,,,,,114.60039040003903,115.61504529998638,115.61504529998638,115.61504529998638,115.61504529998638,None,115.61504529998638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
