CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,fx_cross_prediction.started,plate_updating.started,city_text_updating.started,street_text_updating.started,updating_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,19.942598482593894,19.942598482593894,space,14.991771653294563,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,OLDAL UTCA,stimuli/scenes/093a.jpg,scene,2,stimuli/objects/107a.jpg,stimuli/objects/107b.jpg,stimuli/objects/022a.jpg,stimuli/objects/107a.jpg,stimuli/objects/022b.jpg,lure,dist1,target,dist2,0,0,0,0,0,0,0,11,,,,,35.020432498306036,35.020432498306036,37.99171230196953,39.00025626830757,39.00025626830757,39.00025626830757,39.00025626830757,42.00406516343355,42.00406516343355,42.00406516343355,42.00406516343355,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÖNYVTÁR UTCA,stimuli/objects/113a.jpg,object,1,stimuli/objects/109a.jpg,stimuli/objects/109a.jpg,stimuli/objects/109b.jpg,stimuli/scenes/067a.jpg,stimuli/scenes/067b.jpg,target,lure,dist1,dist2,0,0,0,0,0,1,1,42,,,,,,,43.96430952847004,44.98891137726605,44.98891137726605,44.98891137726605,44.98891137726605,48.01707798242569,48.01707798242569,48.01707798242569,48.01707798242569,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HERNYÓ UTCA,stimuli/scenes/066a.jpg,scene,1,stimuli/scenes/037a.jpg,stimuli/scenes/037a.jpg,stimuli/objects/045b.jpg,stimuli/scenes/037b.jpg,stimuli/objects/045a.jpg,target,dist2,lure,dist1,0,0,0,0,0,2,2,5,,,,,,,49.9745730496943,51.00556234829128,51.00556234829128,51.00556234829128,51.00556234829128,54.0343195553869,54.0343195553869,54.0343195553869,54.0343195553869,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,LÉTRA UTCA,stimuli/objects/047a.jpg,object,1,stimuli/objects/015a.jpg,stimuli/objects/108b.jpg,stimuli/objects/015b.jpg,stimuli/objects/108a.jpg,stimuli/objects/015a.jpg,dist2,lure,dist1,target,0,0,0,0,0,3,3,33,,,,,,,55.991725051775575,57.01791210100055,57.01791210100055,57.01791210100055,57.01791210100055,60.03888699412346,60.03888699412346,60.03888699412346,60.03888699412346,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MOTOR UTCA,stimuli/objects/097a.jpg,object,1,stimuli/objects/071a.jpg,stimuli/objects/015b.jpg,stimuli/objects/071b.jpg,stimuli/objects/071a.jpg,stimuli/objects/015a.jpg,dist2,lure,target,dist1,0,0,0,0,0,4,4,36,,,,,,,61.99521267786622,63.016572596505284,63.016572596505284,63.016572596505284,63.016572596505284,66.03415503166616,66.03415503166616,66.03415503166616,66.03415503166616,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PAPAGÁJ UTCA,stimuli/objects/093a.jpg,object,2,stimuli/scenes/097a.jpg,stimuli/scenes/097a.jpg,stimuli/scenes/109b.jpg,stimuli/scenes/109a.jpg,stimuli/scenes/097b.jpg,target,dist2,dist1,lure,0,0,0,0,0,5,5,55,,,,,,,67.99978509359062,69.03262830153108,69.03262830153108,69.03262830153108,69.03262830153108,72.04516217112541,72.04516217112541,72.04516217112541,72.04516217112541,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,BONBON UTCA,stimuli/objects/095a.jpg,object,2,stimuli/scenes/007a.jpg,stimuli/objects/028b.jpg,stimuli/objects/028a.jpg,stimuli/scenes/007a.jpg,stimuli/scenes/007b.jpg,dist2,dist1,target,lure,0,0,0,0,0,6,6,72,,,,,,,74.00399394333363,75.03721346892416,75.03721346892416,75.03721346892416,75.03721346892416,78.04670227505267,78.04670227505267,78.04670227505267,78.04670227505267,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,NARANCS UTCA,stimuli/objects/017a.jpg,object,1,stimuli/objects/075a.jpg,stimuli/objects/075a.jpg,stimuli/scenes/041b.jpg,stimuli/scenes/041a.jpg,stimuli/objects/075b.jpg,target,dist2,dist1,lure,0,0,0,0,0,7,7,76,,,,,,,80.01136355102062,81.03302203677595,81.03302203677595,81.03302203677595,81.03302203677595,84.02914285287261,84.02914285287261,84.02914285287261,84.02914285287261,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,BOLYGÓ UTCA,stimuli/scenes/118a.jpg,scene,1,stimuli/scenes/087a.jpg,stimuli/objects/011a.jpg,stimuli/scenes/087b.jpg,stimuli/objects/011b.jpg,stimuli/scenes/087a.jpg,dist1,lure,dist2,target,0,0,0,0,0,8,8,31,,,,,,,86.02217942103744,87.0481366366148,87.0481366366148,87.0481366366148,87.0481366366148,90.07632221281528,90.07632221281528,90.07632221281528,90.07632221281528,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PULÓVER UTCA,stimuli/objects/114a.jpg,object,0,stimuli/objects/114a.jpg,stimuli/scenes/050b.jpg,stimuli/scenes/050a.jpg,stimuli/objects/114b.jpg,stimuli/objects/114a.jpg,dist2,dist1,lure,target,0,0,0,0,0,9,9,43,,,,,,,92.0330829937011,93.06592682376504,93.06592682376504,93.06592682376504,93.06592682376504,96.08435301855206,96.08435301855206,96.08435301855206,96.08435301855206,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,ZSEMLE UTCA,stimuli/objects/115a.jpg,object,1,stimuli/objects/053a.jpg,stimuli/objects/007a.jpg,stimuli/objects/053a.jpg,stimuli/objects/007b.jpg,stimuli/objects/053b.jpg,dist1,target,dist2,lure,0,0,0,0,0,10,10,47,,,,,,,98.0455540381372,99.06874796189368,99.06874796189368,99.06874796189368,99.06874796189368,102.08808478526771,102.08808478526771,102.08808478526771,102.08808478526771,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,LIGET UTCA,stimuli/objects/038a.jpg,object,2,stimuli/scenes/109a.jpg,stimuli/scenes/109a.jpg,stimuli/objects/055a.jpg,stimuli/scenes/109b.jpg,stimuli/objects/055b.jpg,target,dist1,lure,dist2,0,0,0,0,0,11,11,62,,,,,,,104.061762759462,105.08577214181423,105.08577214181423,105.08577214181423,105.08577214181423,108.08027323707938,108.08027323707938,108.08027323707938,108.08027323707938,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,AKÁC UTCA,stimuli/scenes/081a.jpg,scene,2,stimuli/objects/055a.jpg,stimuli/objects/055b.jpg,stimuli/objects/107b.jpg,stimuli/objects/107a.jpg,stimuli/objects/055a.jpg,lure,dist2,dist1,target,0,0,0,0,0,12,12,74,,,,,,,110.06693634949625,111.09778165258467,111.09778165258467,111.09778165258467,111.09778165258467,114.09585558995605,114.09585558995605,114.09585558995605,114.09585558995605,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TOJÁS UTCA,stimuli/objects/021a.jpg,object,2,stimuli/scenes/034a.jpg,stimuli/scenes/034a.jpg,stimuli/objects/059a.jpg,stimuli/objects/059b.jpg,stimuli/scenes/034b.jpg,target,dist1,dist2,lure,0,0,0,0,0,13,13,37,,,,,,,116.07963754050434,117.10211179591715,117.10211179591715,117.10211179591715,117.10211179591715,120.11042095348239,120.11042095348239,120.11042095348239,120.11042095348239,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KULLANCS UTCA,stimuli/objects/089a.jpg,object,0,stimuli/objects/089a.jpg,stimuli/scenes/072a.jpg,stimuli/objects/089a.jpg,stimuli/scenes/072b.jpg,stimuli/objects/089b.jpg,dist1,target,dist2,lure,0,0,0,0,0,14,14,34,,,,,,,122.09520216658711,123.11994116939604,123.11994116939604,123.11994116939604,123.11994116939604,126.13152118213475,126.13152118213475,126.13152118213475,126.13152118213475,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PÁLMAFA UTCA,stimuli/objects/090a.jpg,object,1,stimuli/objects/007a.jpg,stimuli/objects/053a.jpg,stimuli/objects/007a.jpg,stimuli/objects/053b.jpg,stimuli/objects/007b.jpg,dist1,target,dist2,lure,0,0,0,0,0,15,15,12,,,,,,,128.09525472670794,129.11692254059017,129.11692254059017,129.11692254059017,129.11692254059017,132.15356842428446,132.15356842428446,132.15356842428446,132.15356842428446,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KARTON UTCA,stimuli/objects/101a.jpg,object,2,stimuli/scenes/044a.jpg,stimuli/scenes/074a.jpg,stimuli/scenes/044b.jpg,stimuli/scenes/044a.jpg,stimuli/scenes/074b.jpg,dist1,lure,target,dist2,0,0,0,0,0,16,16,8,,,,,,,134.11152160540223,135.1322632431984,135.1322632431984,135.1322632431984,135.1322632431984,138.13747788779438,138.13747788779438,138.13747788779438,138.13747788779438,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HAJÓ UTCA,stimuli/objects/086a.jpg,object,1,stimuli/objects/041a.jpg,stimuli/scenes/014a.jpg,stimuli/scenes/014b.jpg,stimuli/objects/041a.jpg,stimuli/objects/041b.jpg,dist1,dist2,target,lure,0,0,0,0,0,17,17,71,,,,,,,140.1199377477169,141.13747633248568,141.13747633248568,141.13747633248568,141.13747633248568,144.1628513429314,144.1628513429314,144.1628513429314,144.1628513429314,None,141.13747633248568,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KAKAS UTCA,stimuli/objects/002a.jpg,object,2,stimuli/scenes/074a.jpg,stimuli/scenes/074b.jpg,stimuli/scenes/074a.jpg,stimuli/scenes/070a.jpg,stimuli/scenes/070b.jpg,lure,target,dist1,dist2,0,0,0,0,0,18,18,24,,,,,,,146.12954722344875,147.15480249747634,147.15480249747634,147.15480249747634,147.15480249747634,150.16951838694513,150.16951838694513,150.16951838694513,150.16951838694513,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÖTÉNY UTCA,stimuli/scenes/031a.jpg,scene,1,stimuli/scenes/064a.jpg,stimuli/objects/103a.jpg,stimuli/objects/103b.jpg,stimuli/scenes/064b.jpg,stimuli/scenes/064a.jpg,dist1,dist2,lure,target,0,0,0,0,0,19,19,22,,,,,,,152.1303004808724,153.1551744621247,153.1551744621247,153.1551744621247,153.1551744621247,156.16076542437077,156.16076542437077,156.16076542437077,156.16076542437077,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TALICSKA UTCA,stimuli/objects/014a.jpg,object,1,stimuli/objects/108a.jpg,stimuli/objects/109a.jpg,stimuli/objects/109b.jpg,stimuli/objects/108a.jpg,stimuli/objects/108b.jpg,dist1,dist2,target,lure,0,0,0,0,0,20,20,13,,,,,,,158.14005986228585,159.16483680903912,159.16483680903912,159.16483680903912,159.16483680903912,162.20154644735157,162.20154644735157,162.20154644735157,162.20154644735157,None,,,,,,,,,,,student1,2022-10-25_15h55.15.024,Hippopolis_Updating,2022.2.2,59.99794773326782,
