Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
OROSZLÁN UTCA,stimuli/objects/078a.jpg,object,0,stimuli/objects/078a.jpg,stimuli/scenes/104b.jpg,stimuli/scenes/104a.jpg,stimuli/objects/078a.jpg,stimuli/objects/078b.jpg,dist2,dist1,target,lure
MUNKA UTCA,stimuli/objects/059a.jpg,object,0,stimuli/objects/059a.jpg,stimuli/scenes/115b.jpg,stimuli/scenes/115a.jpg,stimuli/objects/059a.jpg,stimuli/objects/059b.jpg,dist2,dist1,target,lure
KERET UTCA,stimuli/scenes/012a.jpg,scene,0,stimuli/scenes/012a.jpg,stimuli/scenes/012a.jpg,stimuli/scenes/011b.jpg,stimuli/scenes/011a.jpg,stimuli/scenes/012b.jpg,target,dist2,dist1,lure
ÁLOM UTCA,stimuli/scenes/017a.jpg,scene,0,stimuli/scenes/017a.jpg,stimuli/scenes/017a.jpg,stimuli/objects/078b.jpg,stimuli/objects/078a.jpg,stimuli/scenes/017b.jpg,target,dist2,dist1,lure
BONBON UTCA,stimuli/objects/041a.jpg,object,0,stimuli/objects/041a.jpg,stimuli/scenes/079a.jpg,stimuli/scenes/079b.jpg,stimuli/objects/041a.jpg,stimuli/objects/041b.jpg,dist1,dist2,target,lure
SALÁTA UTCA,stimuli/objects/058a.jpg,object,1,stimuli/objects/001a.jpg,stimuli/objects/001a.jpg,stimuli/objects/007b.jpg,stimuli/objects/001b.jpg,stimuli/objects/007a.jpg,target,dist2,lure,dist1
RÁDIÓ UTCA,stimuli/scenes/115a.jpg,scene,0,stimuli/scenes/115a.jpg,stimuli/scenes/037a.jpg,stimuli/scenes/037b.jpg,stimuli/scenes/115a.jpg,stimuli/scenes/115b.jpg,dist1,dist2,target,lure
KESZTYŰ UTCA,stimuli/objects/103a.jpg,object,2,stimuli/scenes/041a.jpg,stimuli/scenes/041a.jpg,stimuli/scenes/063b.jpg,stimuli/scenes/063a.jpg,stimuli/scenes/041b.jpg,target,dist2,dist1,lure
KAKAÓ UTCA,stimuli/scenes/029a.jpg,scene,2,stimuli/objects/061a.jpg,stimuli/objects/037b.jpg,stimuli/objects/061a.jpg,stimuli/objects/037a.jpg,stimuli/objects/061b.jpg,dist2,target,dist1,lure
KECSKE UTCA,stimuli/scenes/025a.jpg,scene,0,stimuli/scenes/025a.jpg,stimuli/scenes/004b.jpg,stimuli/scenes/025a.jpg,stimuli/scenes/025b.jpg,stimuli/scenes/004a.jpg,dist2,target,lure,dist1
SZOBOR UTCA,stimuli/objects/114a.jpg,object,0,stimuli/objects/114a.jpg,stimuli/objects/099b.jpg,stimuli/objects/099a.jpg,stimuli/objects/114a.jpg,stimuli/objects/114b.jpg,dist2,dist1,target,lure
LÉPCSŐ UTCA,stimuli/objects/060a.jpg,object,0,stimuli/objects/060a.jpg,stimuli/scenes/066b.jpg,stimuli/objects/060a.jpg,stimuli/objects/060b.jpg,stimuli/scenes/066a.jpg,dist2,target,lure,dist1
ZSEMLE UTCA,stimuli/objects/011a.jpg,object,0,stimuli/objects/011a.jpg,stimuli/scenes/014b.jpg,stimuli/scenes/014a.jpg,stimuli/objects/011b.jpg,stimuli/objects/011a.jpg,dist2,dist1,lure,target
TELEP UTCA,stimuli/scenes/009a.jpg,scene,0,stimuli/scenes/009a.jpg,stimuli/scenes/009b.jpg,stimuli/scenes/009a.jpg,stimuli/objects/003b.jpg,stimuli/objects/003a.jpg,lure,target,dist2,dist1
LOVAGLÁS UTCA,stimuli/objects/047a.jpg,object,0,stimuli/objects/047a.jpg,stimuli/objects/047a.jpg,stimuli/objects/030b.jpg,stimuli/objects/030a.jpg,stimuli/objects/047b.jpg,target,dist2,dist1,lure
TISZTÁS UTCA,stimuli/scenes/054a.jpg,scene,0,stimuli/scenes/054a.jpg,stimuli/objects/019b.jpg,stimuli/scenes/054a.jpg,stimuli/scenes/054b.jpg,stimuli/objects/019a.jpg,dist2,target,lure,dist1
SZILVA UTCA,stimuli/scenes/104a.jpg,scene,0,stimuli/scenes/104a.jpg,stimuli/objects/088b.jpg,stimuli/scenes/104b.jpg,stimuli/objects/088a.jpg,stimuli/scenes/104a.jpg,dist2,lure,dist1,target
HAJÓ UTCA,stimuli/scenes/037a.jpg,scene,0,stimuli/scenes/037a.jpg,stimuli/objects/028a.jpg,stimuli/scenes/037b.jpg,stimuli/scenes/037a.jpg,stimuli/objects/028b.jpg,dist1,lure,target,dist2
TIGRIS UTCA,stimuli/objects/016a.jpg,object,1,stimuli/objects/113a.jpg,stimuli/objects/113a.jpg,stimuli/objects/113b.jpg,stimuli/objects/063a.jpg,stimuli/objects/063b.jpg,target,lure,dist1,dist2
PAPAGÁJ UTCA,stimuli/scenes/002a.jpg,scene,0,stimuli/scenes/002a.jpg,stimuli/objects/045a.jpg,stimuli/objects/045b.jpg,stimuli/scenes/002b.jpg,stimuli/scenes/002a.jpg,dist1,dist2,lure,target
REPÜLŐ UTCA,stimuli/objects/008a.jpg,object,0,stimuli/objects/008a.jpg,stimuli/scenes/120a.jpg,stimuli/scenes/120b.jpg,stimuli/objects/008b.jpg,stimuli/objects/008a.jpg,dist1,dist2,lure,target
MOCSÁR UTCA,stimuli/objects/057a.jpg,object,0,stimuli/objects/057a.jpg,stimuli/objects/067a.jpg,stimuli/objects/067b.jpg,stimuli/objects/057b.jpg,stimuli/objects/057a.jpg,dist1,dist2,lure,target
KRÉTA UTCA,stimuli/scenes/066a.jpg,scene,0,stimuli/scenes/066a.jpg,stimuli/objects/094a.jpg,stimuli/scenes/066b.jpg,stimuli/objects/094b.jpg,stimuli/scenes/066a.jpg,dist1,lure,dist2,target
CITROM UTCA,stimuli/objects/038a.jpg,object,0,stimuli/objects/038a.jpg,stimuli/objects/059b.jpg,stimuli/objects/059a.jpg,stimuli/objects/038b.jpg,stimuli/objects/038a.jpg,dist2,dist1,lure,target
TALICSKA UTCA,stimuli/scenes/050a.jpg,scene,1,stimuli/scenes/099a.jpg,stimuli/objects/001b.jpg,stimuli/scenes/099a.jpg,stimuli/scenes/099b.jpg,stimuli/objects/001a.jpg,dist2,target,lure,dist1
POLIP UTCA,stimuli/objects/025a.jpg,object,0,stimuli/objects/025a.jpg,stimuli/objects/025b.jpg,stimuli/objects/025a.jpg,stimuli/scenes/040b.jpg,stimuli/scenes/040a.jpg,lure,target,dist2,dist1
NARANCS UTCA,stimuli/objects/042a.jpg,object,0,stimuli/objects/042a.jpg,stimuli/scenes/085b.jpg,stimuli/scenes/085a.jpg,stimuli/objects/042b.jpg,stimuli/objects/042a.jpg,dist2,dist1,lure,target
TOJÁS UTCA,stimuli/objects/012a.jpg,object,0,stimuli/objects/012a.jpg,stimuli/objects/011a.jpg,stimuli/objects/012a.jpg,stimuli/objects/012b.jpg,stimuli/objects/011b.jpg,dist1,target,lure,dist2
TOLMÁCS UTCA,stimuli/objects/111a.jpg,object,1,stimuli/objects/110a.jpg,stimuli/scenes/119a.jpg,stimuli/scenes/119b.jpg,stimuli/objects/110a.jpg,stimuli/objects/110b.jpg,dist1,dist2,target,lure
BANÁN UTCA,stimuli/scenes/040a.jpg,scene,0,stimuli/scenes/040a.jpg,stimuli/scenes/039b.jpg,stimuli/scenes/040a.jpg,stimuli/scenes/040b.jpg,stimuli/scenes/039a.jpg,dist2,target,lure,dist1
KALAPÁCS UTCA,stimuli/objects/095a.jpg,object,2,stimuli/scenes/087a.jpg,stimuli/objects/066b.jpg,stimuli/scenes/087a.jpg,stimuli/scenes/087b.jpg,stimuli/objects/066a.jpg,dist2,target,lure,dist1
