Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
KOSÁR UTCA,stimuli/scenes/036a.jpg,scene,right,Camponello,2,stimuli/objects/053a.jpg,stimuli/objects/053a.jpg,stimuli/scenes/024b.jpg,stimuli/objects/053b.jpg,stimuli/scenes/024a.jpg,target,dist2,lure,dist1
LEMEZ UTCA,stimuli/scenes/041a.jpg,scene,right,Camponello,0,stimuli/scenes/041a.jpg,stimuli/objects/057a.jpg,stimuli/scenes/041b.jpg,stimuli/objects/057b.jpg,stimuli/scenes/041a.jpg,dist1,lure,dist2,target
PETÁRDA UTCA,stimuli/objects/023a.jpg,object,left,Camponello,0,stimuli/objects/023a.jpg,stimuli/objects/023b.jpg,stimuli/objects/023a.jpg,stimuli/objects/054b.jpg,stimuli/objects/054a.jpg,lure,target,dist2,dist1
AKÁC UTCA,stimuli/objects/100a.jpg,object,left,Camponello,1,stimuli/objects/045a.jpg,stimuli/objects/045b.jpg,stimuli/scenes/051b.jpg,stimuli/objects/045a.jpg,stimuli/scenes/051a.jpg,lure,dist2,target,dist1
TOLMÁCS UTCA,stimuli/objects/051a.jpg,object,left,Camponello,0,stimuli/objects/051a.jpg,stimuli/scenes/096a.jpg,stimuli/scenes/096b.jpg,stimuli/objects/051b.jpg,stimuli/objects/051a.jpg,dist1,dist2,lure,target
BONBON UTCA,stimuli/objects/003a.jpg,object,left,Camponello,0,stimuli/objects/003a.jpg,stimuli/objects/003a.jpg,stimuli/objects/003b.jpg,stimuli/objects/108a.jpg,stimuli/objects/108b.jpg,target,lure,dist1,dist2
ZSEMLE UTCA,stimuli/objects/018a.jpg,object,left,Camponello,1,stimuli/objects/116a.jpg,stimuli/objects/069a.jpg,stimuli/objects/116a.jpg,stimuli/objects/116b.jpg,stimuli/objects/069b.jpg,dist1,target,lure,dist2
HORGONY UTCA,stimuli/scenes/019a.jpg,scene,right,Camponello,0,stimuli/scenes/019a.jpg,stimuli/objects/023b.jpg,stimuli/scenes/019b.jpg,stimuli/objects/023a.jpg,stimuli/scenes/019a.jpg,dist2,lure,dist1,target
TRIATLON UTCA,stimuli/scenes/105a.jpg,scene,right,Camponello,0,stimuli/scenes/105a.jpg,stimuli/scenes/105a.jpg,stimuli/scenes/105b.jpg,stimuli/scenes/065a.jpg,stimuli/scenes/065b.jpg,target,lure,dist1,dist2
FOLYÓ UTCA,stimuli/scenes/052a.jpg,scene,right,Camponello,0,stimuli/scenes/052a.jpg,stimuli/scenes/052b.jpg,stimuli/scenes/052a.jpg,stimuli/scenes/019a.jpg,stimuli/scenes/019b.jpg,lure,target,dist1,dist2
OROSZLÁN UTCA,stimuli/scenes/113a.jpg,scene,right,Camponello,0,stimuli/scenes/113a.jpg,stimuli/scenes/105a.jpg,stimuli/scenes/105b.jpg,stimuli/scenes/113a.jpg,stimuli/scenes/113b.jpg,dist1,dist2,target,lure
KESZTYŰ UTCA,stimuli/objects/074a.jpg,object,left,Camponello,2,stimuli/scenes/024a.jpg,stimuli/scenes/024a.jpg,stimuli/objects/072b.jpg,stimuli/scenes/024b.jpg,stimuli/objects/072a.jpg,target,dist2,lure,dist1
KÍGYÓ UTCA,stimuli/objects/057a.jpg,object,left,Camponello,0,stimuli/objects/057a.jpg,stimuli/scenes/071b.jpg,stimuli/objects/057a.jpg,stimuli/scenes/071a.jpg,stimuli/objects/057b.jpg,dist2,target,dist1,lure
KANÁL UTCA,stimuli/objects/098a.jpg,object,left,Camponello,0,stimuli/objects/098a.jpg,stimuli/objects/105b.jpg,stimuli/objects/105a.jpg,stimuli/objects/098b.jpg,stimuli/objects/098a.jpg,dist2,dist1,lure,target
MOSODA UTCA,stimuli/scenes/096a.jpg,scene,right,Camponello,0,stimuli/scenes/096a.jpg,stimuli/scenes/096b.jpg,stimuli/scenes/106a.jpg,stimuli/scenes/096a.jpg,stimuli/scenes/106b.jpg,lure,dist1,target,dist2
