Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
BONBON UTCA,stimuli/scenes/010a.jpg,scene,0,stimuli/scenes/010a.jpg,stimuli/scenes/046a.jpg,stimuli/scenes/046b.jpg,stimuli/scenes/010a.jpg,stimuli/scenes/010b.jpg,dist1,dist2,target,lure
TERÍTŐ UTCA,stimuli/scenes/115a.jpg,scene,2,stimuli/objects/031a.jpg,stimuli/objects/051b.jpg,stimuli/objects/031a.jpg,stimuli/objects/051a.jpg,stimuli/objects/031b.jpg,dist2,target,dist1,lure
KARTON UTCA,stimuli/objects/066a.jpg,object,1,stimuli/objects/114a.jpg,stimuli/objects/048a.jpg,stimuli/objects/114a.jpg,stimuli/objects/048b.jpg,stimuli/objects/114b.jpg,dist1,target,dist2,lure
ÁRNYÉK UTCA,stimuli/scenes/009a.jpg,scene,1,stimuli/scenes/051a.jpg,stimuli/objects/037a.jpg,stimuli/scenes/051a.jpg,stimuli/scenes/051b.jpg,stimuli/objects/037b.jpg,dist1,target,lure,dist2
RIBIZLI UTCA,stimuli/objects/065a.jpg,object,1,stimuli/objects/023a.jpg,stimuli/objects/023a.jpg,stimuli/objects/023b.jpg,stimuli/scenes/069a.jpg,stimuli/scenes/069b.jpg,target,lure,dist1,dist2
MÁRVÁNY UTCA,stimuli/scenes/085a.jpg,scene,1,stimuli/scenes/031a.jpg,stimuli/scenes/011b.jpg,stimuli/scenes/031b.jpg,stimuli/scenes/011a.jpg,stimuli/scenes/031a.jpg,dist2,lure,dist1,target
FÓKA UTCA,stimuli/scenes/080a.jpg,scene,2,stimuli/objects/086a.jpg,stimuli/objects/086b.jpg,stimuli/objects/086a.jpg,stimuli/scenes/042a.jpg,stimuli/scenes/042b.jpg,lure,target,dist1,dist2
ZSEMLE UTCA,stimuli/objects/001a.jpg,object,2,stimuli/scenes/042a.jpg,stimuli/scenes/096a.jpg,stimuli/scenes/096b.jpg,stimuli/scenes/042a.jpg,stimuli/scenes/042b.jpg,dist1,dist2,target,lure
KÖMÉNYMAG UTCA,stimuli/scenes/068a.jpg,scene,1,stimuli/scenes/066a.jpg,stimuli/scenes/066b.jpg,stimuli/objects/114a.jpg,stimuli/objects/114b.jpg,stimuli/scenes/066a.jpg,lure,dist1,dist2,target
SZILVA UTCA,stimuli/objects/011a.jpg,object,2,stimuli/scenes/039a.jpg,stimuli/objects/020a.jpg,stimuli/scenes/039a.jpg,stimuli/scenes/039b.jpg,stimuli/objects/020b.jpg,dist1,target,lure,dist2
