Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
LEGELŐ,stimuli/objects/022a.jpg,object,0,stimuli/objects/022a.jpg,stimuli/objects/022a.jpg,stimuli/objects/022b.jpg,stimuli/objects/025b.jpg,stimuli/objects/025a.jpg,target,lure,dist2,dist1
KÖMÉNYMAG,stimuli/scenes/078a.jpg,scene,0,stimuli/scenes/078a.jpg,stimuli/scenes/078b.jpg,stimuli/objects/087a.jpg,stimuli/scenes/078a.jpg,stimuli/objects/087b.jpg,lure,dist1,target,dist2
SZŐLŐ,stimuli/objects/068a.jpg,object,0,stimuli/objects/068a.jpg,stimuli/objects/068a.jpg,stimuli/objects/068b.jpg,stimuli/scenes/005a.jpg,stimuli/scenes/005b.jpg,target,lure,dist1,dist2
MAJORÁNNA,stimuli/scenes/031a.jpg,scene,0,stimuli/scenes/031a.jpg,stimuli/objects/044b.jpg,stimuli/objects/044a.jpg,stimuli/scenes/031b.jpg,stimuli/scenes/031a.jpg,dist2,dist1,lure,target
ZEBRA,stimuli/scenes/052a.jpg,scene,0,stimuli/scenes/052a.jpg,stimuli/scenes/004b.jpg,stimuli/scenes/052b.jpg,stimuli/scenes/004a.jpg,stimuli/scenes/052a.jpg,dist2,lure,dist1,target
PELIKÁN,stimuli/objects/055a.jpg,object,2,stimuli/scenes/036a.jpg,stimuli/scenes/036b.jpg,stimuli/scenes/036a.jpg,stimuli/scenes/010a.jpg,stimuli/scenes/010b.jpg,lure,target,dist1,dist2
KÍGYÓ,stimuli/scenes/006a.jpg,scene,0,stimuli/scenes/006a.jpg,stimuli/scenes/006b.jpg,stimuli/scenes/006a.jpg,stimuli/objects/099b.jpg,stimuli/objects/099a.jpg,lure,target,dist2,dist1
BÖGRE,stimuli/scenes/002a.jpg,scene,1,stimuli/scenes/075a.jpg,stimuli/scenes/023a.jpg,stimuli/scenes/075a.jpg,stimuli/scenes/023b.jpg,stimuli/scenes/075b.jpg,dist1,target,dist2,lure
TOLMÁCS,stimuli/scenes/025a.jpg,scene,0,stimuli/scenes/025a.jpg,stimuli/scenes/025a.jpg,stimuli/scenes/025b.jpg,stimuli/objects/021a.jpg,stimuli/objects/021b.jpg,target,lure,dist1,dist2
PIZSAMA,stimuli/objects/071a.jpg,object,0,stimuli/objects/071a.jpg,stimuli/scenes/036b.jpg,stimuli/objects/071a.jpg,stimuli/scenes/036a.jpg,stimuli/objects/071b.jpg,dist2,target,dist1,lure
TENISZ,stimuli/scenes/041a.jpg,scene,0,stimuli/scenes/041a.jpg,stimuli/scenes/037a.jpg,stimuli/scenes/037b.jpg,stimuli/scenes/041b.jpg,stimuli/scenes/041a.jpg,dist1,dist2,lure,target
TISZTÁS,stimuli/objects/053a.jpg,object,1,stimuli/objects/025a.jpg,stimuli/scenes/025b.jpg,stimuli/objects/025b.jpg,stimuli/scenes/025a.jpg,stimuli/objects/025a.jpg,dist2,lure,dist1,target
PÁLMAFA,stimuli/scenes/046a.jpg,scene,2,stimuli/objects/052a.jpg,stimuli/scenes/075b.jpg,stimuli/objects/052a.jpg,stimuli/scenes/075a.jpg,stimuli/objects/052b.jpg,dist2,target,dist1,lure
SAPKA,stimuli/objects/029a.jpg,object,0,stimuli/objects/029a.jpg,stimuli/objects/029b.jpg,stimuli/objects/029a.jpg,stimuli/scenes/045a.jpg,stimuli/scenes/045b.jpg,lure,target,dist1,dist2
FÉNYMÁSOLÓ,stimuli/objects/050a.jpg,object,0,stimuli/objects/050a.jpg,stimuli/objects/015b.jpg,stimuli/objects/015a.jpg,stimuli/objects/050b.jpg,stimuli/objects/050a.jpg,dist2,dist1,lure,target
TÁNYÉR,stimuli/scenes/039a.jpg,scene,0,stimuli/scenes/039a.jpg,stimuli/scenes/041a.jpg,stimuli/scenes/041b.jpg,stimuli/scenes/039b.jpg,stimuli/scenes/039a.jpg,dist1,dist2,lure,target
VITORLA,stimuli/objects/077a.jpg,object,0,stimuli/objects/077a.jpg,stimuli/scenes/040a.jpg,stimuli/scenes/040b.jpg,stimuli/objects/077a.jpg,stimuli/objects/077b.jpg,dist1,dist2,target,lure
KENYÉR,stimuli/objects/089a.jpg,object,0,stimuli/objects/089a.jpg,stimuli/objects/089b.jpg,stimuli/objects/045b.jpg,stimuli/objects/089a.jpg,stimuli/objects/045a.jpg,lure,dist2,target,dist1
TENGER,stimuli/objects/061a.jpg,object,0,stimuli/objects/061a.jpg,stimuli/objects/016a.jpg,stimuli/objects/061a.jpg,stimuli/objects/016b.jpg,stimuli/objects/061b.jpg,dist1,target,dist2,lure
KÖNYVTÁR,stimuli/objects/063a.jpg,object,1,stimuli/objects/045a.jpg,stimuli/objects/077a.jpg,stimuli/objects/045b.jpg,stimuli/objects/045a.jpg,stimuli/objects/077b.jpg,dist1,lure,target,dist2
KÖTÉNY,stimuli/scenes/009a.jpg,scene,0,stimuli/scenes/009a.jpg,stimuli/scenes/009a.jpg,stimuli/scenes/009b.jpg,stimuli/objects/083a.jpg,stimuli/objects/083b.jpg,target,lure,dist1,dist2
HERING,stimuli/objects/004a.jpg,object,0,stimuli/objects/004a.jpg,stimuli/objects/012a.jpg,stimuli/objects/012b.jpg,stimuli/objects/004b.jpg,stimuli/objects/004a.jpg,dist1,dist2,lure,target
KAKAS,stimuli/scenes/083a.jpg,scene,0,stimuli/scenes/083a.jpg,stimuli/scenes/083b.jpg,stimuli/scenes/052a.jpg,stimuli/scenes/052b.jpg,stimuli/scenes/083a.jpg,lure,dist1,dist2,target
MARTINI,stimuli/objects/067a.jpg,object,0,stimuli/objects/067a.jpg,stimuli/objects/067b.jpg,stimuli/scenes/009b.jpg,stimuli/objects/067a.jpg,stimuli/scenes/009a.jpg,lure,dist2,target,dist1
BONBON,stimuli/objects/091a.jpg,object,0,stimuli/objects/091a.jpg,stimuli/objects/091a.jpg,stimuli/objects/091b.jpg,stimuli/scenes/069a.jpg,stimuli/scenes/069b.jpg,target,lure,dist1,dist2
SZÚNYOG,stimuli/scenes/051a.jpg,scene,1,stimuli/scenes/005a.jpg,stimuli/objects/071b.jpg,stimuli/scenes/005a.jpg,stimuli/scenes/005b.jpg,stimuli/objects/071a.jpg,dist2,target,lure,dist1
KANÁL,stimuli/objects/028a.jpg,object,0,stimuli/objects/028a.jpg,stimuli/objects/028b.jpg,stimuli/objects/050b.jpg,stimuli/objects/028a.jpg,stimuli/objects/050a.jpg,lure,dist2,target,dist1
MÁLNA,stimuli/objects/082a.jpg,object,1,stimuli/objects/083a.jpg,stimuli/objects/083b.jpg,stimuli/objects/083a.jpg,stimuli/objects/089b.jpg,stimuli/objects/089a.jpg,lure,target,dist2,dist1
KABÁT,stimuli/objects/016a.jpg,object,0,stimuli/objects/016a.jpg,stimuli/objects/016a.jpg,stimuli/objects/016b.jpg,stimuli/scenes/029b.jpg,stimuli/scenes/029a.jpg,target,lure,dist2,dist1
KOKTÉL,stimuli/scenes/026a.jpg,scene,2,stimuli/objects/099a.jpg,stimuli/scenes/079b.jpg,stimuli/objects/099a.jpg,stimuli/scenes/079a.jpg,stimuli/objects/099b.jpg,dist2,target,dist1,lure
DARU,stimuli/objects/002a.jpg,object,0,stimuli/objects/002a.jpg,stimuli/objects/002a.jpg,stimuli/objects/029a.jpg,stimuli/objects/002b.jpg,stimuli/objects/029b.jpg,target,dist1,lure,dist2
SZIKLA,stimuli/objects/087a.jpg,object,0,stimuli/objects/087a.jpg,stimuli/scenes/031a.jpg,stimuli/objects/087a.jpg,stimuli/scenes/031b.jpg,stimuli/objects/087b.jpg,dist1,target,dist2,lure
KALAPÁCS,stimuli/objects/049a.jpg,object,1,stimuli/objects/048a.jpg,stimuli/objects/022a.jpg,stimuli/objects/048b.jpg,stimuli/objects/048a.jpg,stimuli/objects/022b.jpg,dist1,lure,target,dist2
ORVOS,stimuli/objects/006a.jpg,object,2,stimuli/scenes/019a.jpg,stimuli/scenes/019b.jpg,stimuli/objects/061b.jpg,stimuli/objects/061a.jpg,stimuli/scenes/019a.jpg,lure,dist2,dist1,target
LIMONÁDÉ,stimuli/scenes/049a.jpg,scene,0,stimuli/scenes/049a.jpg,stimuli/objects/067a.jpg,stimuli/objects/067b.jpg,stimuli/scenes/049a.jpg,stimuli/scenes/049b.jpg,dist1,dist2,target,lure
TELEFON,stimuli/objects/044a.jpg,object,0,stimuli/objects/044a.jpg,stimuli/scenes/039a.jpg,stimuli/objects/044a.jpg,stimuli/scenes/039b.jpg,stimuli/objects/044b.jpg,dist1,target,dist2,lure
